"R0","N","yr","p_free_vx"
1.5,50,5.0986301369863,0
1.5,50,5.26301369863014,0
1.5,50,5.42739726027397,0
1.5,50,5.59178082191781,0
1.5,50,5.75616438356164,0
1.5,50,5.92054794520548,0
1.5,50,6.08493150684932,0
1.5,50,6.24931506849315,5e-04
1.5,50,6.41369863013699,5e-04
1.5,50,6.57808219178082,0.001
1.5,50,6.74246575342466,0.001
1.5,50,6.90684931506849,0.0015
1.5,50,7.07123287671233,0.0015
1.5,50,7.23561643835616,0.002
1.5,50,7.4,0.0025
1.5,50,7.56438356164384,0.0025
1.5,50,7.72876712328767,0.003
1.5,50,7.89315068493151,0.004
1.5,50,8.05753424657534,0.0045
1.5,50,8.22191780821918,0.005
1.5,50,8.38630136986301,0.007
1.5,50,8.55068493150685,0.007
1.5,50,8.71506849315069,0.0075
1.5,50,8.87945205479452,0.0075
1.5,50,9.04383561643836,0.008
1.5,50,9.20821917808219,0.01
1.5,50,9.37260273972603,0.01
1.5,50,9.53698630136986,0.0105
1.5,50,9.7013698630137,0.0115
1.5,50,9.86575342465753,0.0115
1.5,50,10.0301369863014,0.012
1.5,50,10.1945205479452,0.0145
1.5,50,10.358904109589,0.0165
1.5,50,10.5232876712329,0.017
1.5,50,10.6876712328767,0.017
1.5,50,10.8520547945205,0.019
1.5,50,11.0164383561644,0.021
1.5,50,11.1808219178082,0.022
1.5,50,11.3452054794521,0.023
1.5,50,11.5095890410959,0.023
1.5,50,11.6739726027397,0.024
1.5,50,11.8383561643836,0.026
1.5,50,12.0027397260274,0.0285
1.5,50,12.1671232876712,0.0315
1.5,50,12.3315068493151,0.034
1.5,50,12.4958904109589,0.0365
1.5,50,12.6602739726027,0.039
1.5,50,12.8246575342466,0.0415
1.5,50,12.9890410958904,0.044
1.5,50,13.1534246575342,0.0455
1.5,50,13.3178082191781,0.0465
1.5,50,13.4821917808219,0.048
1.5,50,13.6465753424658,0.0515
1.5,50,13.8109589041096,0.054
1.5,50,13.9753424657534,0.056
1.5,50,14.1397260273973,0.0585
1.5,50,14.3041095890411,0.061
1.5,50,14.4684931506849,0.0625
1.5,50,14.6328767123288,0.0675
1.5,50,14.7972602739726,0.0685
1.5,50,14.9616438356164,0.0705
1.5,50,15.1260273972603,0.073
1.5,50,15.2904109589041,0.0745
1.5,50,15.4547945205479,0.077
1.5,50,15.6191780821918,0.0795
1.5,50,15.7835616438356,0.0815
1.5,50,15.9479452054795,0.0845
1.5,50,16.1123287671233,0.087
1.5,50,16.2767123287671,0.09
1.5,50,16.441095890411,0.095
1.5,50,16.6054794520548,0.0975
1.5,50,16.7698630136986,0.1015
1.5,50,16.9342465753425,0.1035
1.5,50,17.0986301369863,0.107
1.5,50,17.2630136986301,0.1105
1.5,50,17.427397260274,0.1125
1.5,50,17.5917808219178,0.115
1.5,50,17.7561643835616,0.117
1.5,50,17.9205479452055,0.1235
1.5,50,18.0849315068493,0.128
1.5,50,18.2493150684931,0.131
1.5,50,18.413698630137,0.134
1.5,50,18.5780821917808,0.138
1.5,50,18.7424657534247,0.1415
1.5,50,18.9068493150685,0.1475
1.5,50,19.0712328767123,0.152
1.5,50,19.2356164383562,0.1585
1.5,50,19.4,0.161
1.5,50,19.5643835616438,0.166
1.5,50,19.7287671232877,0.1695
1.5,50,19.8931506849315,0.172
1.5,50,20.0575342465753,0.1795
1.5,50,20.2219178082192,0.1845
1.5,50,20.386301369863,0.189
1.5,50,20.5506849315069,0.1935
1.5,50,20.7150684931507,0.1995
1.5,50,20.8794520547945,0.2015
1.5,50,21.0438356164384,0.2045
1.5,50,21.2082191780822,0.207
1.5,50,21.372602739726,0.211
1.5,50,21.5369863013699,0.214
1.5,50,21.7013698630137,0.2175
1.5,50,21.8657534246575,0.2205
1.5,50,22.0301369863014,0.224
1.5,50,22.1945205479452,0.2305
1.5,50,22.358904109589,0.2345
1.5,50,22.5232876712329,0.2385
1.5,50,22.6876712328767,0.2435
1.5,50,22.8520547945205,0.2495
1.5,50,23.0164383561644,0.254
1.5,50,23.1808219178082,0.2555
1.5,50,23.3452054794521,0.262
1.5,50,23.5095890410959,0.264
1.5,50,23.6739726027397,0.269
1.5,50,23.8383561643836,0.2735
1.5,50,24.0027397260274,0.2805
1.5,50,24.1671232876712,0.2855
1.5,50,24.3315068493151,0.2895
1.5,50,24.4958904109589,0.2925
1.5,50,24.6602739726027,0.2955
1.5,50,24.8246575342466,0.302
1.5,50,24.9890410958904,0.3095
1.5,50,25.1534246575342,0.3155
1.5,50,25.3178082191781,0.3225
1.5,50,25.4821917808219,0.326
1.5,50,25.6465753424658,0.3305
