"parameter","value","herd","R0","T_elim","R_v"
"coverage",0.82,"R0 75th pct (4.1)",4.12642819800479,Inf,1.112253962203
"coverage",0.82,"R0 90th pct (9.1)",9.1455004281937,Inf,2.46511476741704
"coverage",0.84,"R0 25th pct (2.0)",1.99157647802648,48.210189726923,0.50133556366065
"coverage",0.84,"R0 median (2.8)",2.80808526201542,72.8840126030251,0.706873686836618
"coverage",0.84,"R0 75th pct (4.1)",4.12642819800479,Inf,1.03873751742735
"coverage",0.84,"R0 90th pct (9.1)",9.1455004281937,Inf,2.30217853178834
"coverage",0.86,"R0 25th pct (2.0)",1.99157647802648,45.9534899930095,0.46585363712813
"coverage",0.86,"R0 median (2.8)",2.80808526201542,65.0244843562157,0.656844839808551
"coverage",0.86,"R0 75th pct (4.1)",4.12642819800479,Inf,0.965221072651696
"coverage",0.86,"R0 90th pct (9.1)",9.1455004281937,Inf,2.13924229615964
"coverage",0.88,"R0 25th pct (2.0)",1.99157647802648,43.9762945830925,0.43037171059561
"coverage",0.88,"R0 median (2.8)",2.80808526201542,59.0085549858202,0.606815992780484
"coverage",0.88,"R0 75th pct (4.1)",4.12642819800479,153.946718360998,0.891704627876043
"coverage",0.88,"R0 90th pct (9.1)",9.1455004281937,Inf,1.97630606053095
"coverage",0.9,"R0 25th pct (2.0)",1.99157647802648,42.2334918232589,0.39488978406309
"coverage",0.9,"R0 median (2.8)",2.80808526201542,54.2615244943104,0.556787145752417
"coverage",0.9,"R0 75th pct (4.1)",4.12642819800479,105.758158429815,0.818188183100389
"coverage",0.9,"R0 90th pct (9.1)",9.1455004281937,Inf,1.81336982490225
"coverage",0.92,"R0 25th pct (2.0)",1.99157647802648,40.6891541679791,0.359407857530571
"coverage",0.92,"R0 median (2.8)",2.80808526201542,50.4295015784366,0.506758298724351
"coverage",0.92,"R0 75th pct (4.1)",4.12642819800479,82.8254942528056,0.744671738324736
"coverage",0.92,"R0 90th pct (9.1)",9.1455004281937,Inf,1.65043358927355
"coverage",0.94,"R0 25th pct (2.0)",1.99157647802648,39.3142573254072,0.323925930998051
"coverage",0.94,"R0 median (2.8)",2.80808526201542,47.2814587706102,0.456729451696284
"coverage",0.94,"R0 75th pct (4.1)",4.12642819800479,69.2442369433321,0.671155293549083
"coverage",0.94,"R0 90th pct (9.1)",9.1455004281937,Inf,1.48749735364485
"coverage",0.96,"R0 25th pct (2.0)",1.99157647802648,38.08504227557,0.288444004465531
"coverage",0.96,"R0 median (2.8)",2.80808526201542,44.6592215501658,0.406700604668217
"coverage",0.96,"R0 75th pct (4.1)",4.12642819800479,60.2312656398295,0.59763884877343
"coverage",0.96,"R0 90th pct (9.1)",9.1455004281937,Inf,1.32456111801615
"coverage",0.98,"R0 25th pct (2.0)",1.99157647802648,36.9818740055275,0.252962077933011
"coverage",0.98,"R0 median (2.8)",2.80808526201542,42.4501623428065,0.356671757640151
"coverage",0.98,"R0 75th pct (4.1)",4.12642819800479,53.8241814541589,0.524122403997777
"coverage",0.98,"R0 90th pct (9.1)",9.1455004281937,Inf,1.16162488238745
"coverage",1,"R0 25th pct (2.0)",1.99157647802648,35.9883322761301,0.217480151400492
"coverage",1,"R0 median (2.8)",2.80808526201542,40.5714593669393,0.306642910612084
"coverage",1,"R0 75th pct (4.1)",4.12642819800479,49.0597161459328,0.450605959222123
"coverage",1,"R0 90th pct (9.1)",9.1455004281937,Inf,0.998688646758753
