"parameter","value","herd","R0","T_elim","R_v"
"indirect",0.5,"R0 median (2.8)",2.80808526201542,57.7895314786762,0.589697905023238
"indirect",0.5,"R0 75th pct (4.1)",4.12642819800479,139.707539643028,0.866549921581006
"indirect",0.5,"R0 90th pct (9.1)",9.1455004281937,Inf,1.92055508992068
"indirect",0.525,"R0 25th pct (2.0)",1.99157647802648,42.0759654015558,0.397319507366283
"indirect",0.525,"R0 median (2.8)",2.80808526201542,54.9538156123042,0.560213009772076
"indirect",0.525,"R0 75th pct (4.1)",4.12642819800479,112.695677405308,0.823222425501956
"indirect",0.525,"R0 90th pct (9.1)",9.1455004281937,Inf,1.82452733542464
"indirect",0.55,"R0 25th pct (2.0)",1.99157647802648,41.1622325541891,0.376407954347005
"indirect",0.55,"R0 median (2.8)",2.80808526201542,52.465854639782,0.530728114520914
"indirect",0.55,"R0 75th pct (4.1)",4.12642819800479,95.3621897270476,0.779894929422905
"indirect",0.55,"R0 90th pct (9.1)",9.1455004281937,Inf,1.72849958092861
"indirect",0.575,"R0 25th pct (2.0)",1.99157647802648,40.3136876578592,0.355496401327727
"indirect",0.575,"R0 median (2.8)",2.80808526201542,50.2688836216217,0.501243219269752
"indirect",0.575,"R0 75th pct (4.1)",4.12642819800479,83.241669530276,0.736567433343855
"indirect",0.575,"R0 90th pct (9.1)",9.1455004281937,Inf,1.63247182643258
"indirect",0.6,"R0 25th pct (2.0)",1.99157647802648,39.5245310293214,0.334584848308449
"indirect",0.6,"R0 median (2.8)",2.80808526201542,48.3181071566073,0.47175832401859
"indirect",0.6,"R0 75th pct (4.1)",4.12642819800479,74.2713692190838,0.693239937264805
"indirect",0.6,"R0 90th pct (9.1)",9.1455004281937,Inf,1.53644407193654
"indirect",0.625,"R0 25th pct (2.0)",1.99157647802648,38.7895964123848,0.313673295289171
"indirect",0.625,"R0 median (2.8)",2.80808526201542,46.5776313299125,0.442273428767429
"indirect",0.625,"R0 75th pct (4.1)",4.12642819800479,67.3608134037482,0.649912441185755
"indirect",0.625,"R0 90th pct (9.1)",9.1455004281937,Inf,1.44041631744051
"indirect",0.65,"R0 25th pct (2.0)",1.99157647802648,38.1042804597015,0.292761742269893
"indirect",0.65,"R0 median (2.8)",2.80808526201542,45.0182940324042,0.412788533516267
"indirect",0.65,"R0 75th pct (4.1)",4.12642819800479,61.8770850149317,0.606584945106704
"indirect",0.65,"R0 90th pct (9.1)",9.1455004281937,Inf,1.34438856294447
"indirect",0.675,"R0 25th pct (2.0)",1.99157647802648,37.464474915431,0.271850189250614
"indirect",0.675,"R0 median (2.8)",2.80808526201542,43.6160918406978,0.383303638265105
"indirect",0.675,"R0 75th pct (4.1)",4.12642819800479,57.4265830864313,0.563257449027654
"indirect",0.675,"R0 90th pct (9.1)",9.1455004281937,Inf,1.24836080844844
"indirect",0.7,"R0 25th pct (2.0)",1.99157647802648,36.866444931354,0.250938636231336
"indirect",0.7,"R0 median (2.8)",2.80808526201542,42.3510698315664,0.353818743013943
"indirect",0.7,"R0 75th pct (4.1)",4.12642819800479,53.7510157786127,0.519929952948603
"indirect",0.7,"R0 90th pct (9.1)",9.1455004281937,Inf,1.15233305395241
"indirect",0.725,"R0 25th pct (2.0)",1.99157647802648,36.3068777281338,0.230027083212058
"indirect",0.725,"R0 median (2.8)",2.80808526201542,41.2064514055147,0.324333847762781
"indirect",0.725,"R0 75th pct (4.1)",4.12642819800479,50.6733062331413,0.476602456869553
"indirect",0.725,"R0 90th pct (9.1)",9.1455004281937,Inf,1.05630529945637
"indirect",0.75,"R0 25th pct (2.0)",1.99157647802648,35.7827403158986,0.20911553019278
"indirect",0.75,"R0 median (2.8)",2.80808526201542,40.1680017081233,0.294848952511619
"indirect",0.75,"R0 75th pct (4.1)",4.12642819800479,48.0675070894661,0.433274960790503
"indirect",0.75,"R0 90th pct (9.1)",9.1455004281937,Inf,0.960277544960339
"indirect",0.775,"R0 25th pct (2.0)",1.99157647802648,35.2912900675565,0.188203977173502
"indirect",0.775,"R0 median (2.8)",2.80808526201542,39.223587453356,0.265364057260457
"indirect",0.775,"R0 75th pct (4.1)",4.12642819800479,45.8411689092328,0.389947464711453
"indirect",0.775,"R0 90th pct (9.1)",9.1455004281937,142.247083970604,0.864249790464305
"indirect",0.8,"R0 25th pct (2.0)",1.99157647802648,34.8300446446193,0.167292424154224
"indirect",0.8,"R0 median (2.8)",2.80808526201542,38.3627260788116,0.235879162009295
"indirect",0.8,"R0 75th pct (4.1)",4.12642819800479,43.924578685375,0.346619968632402
"indirect",0.8,"R0 90th pct (9.1)",9.1455004281937,95.8156858913931,0.768222035968271
"indirect",0.825,"R0 25th pct (2.0)",1.99157647802648,34.3967554445063,0.146380871134946
"indirect",0.825,"R0 median (2.8)",2.80808526201542,37.576404810284,0.206394266758133
"indirect",0.825,"R0 75th pct (4.1)",4.12642819800479,42.2639547155776,0.303292472553352
"indirect",0.825,"R0 90th pct (9.1)",9.1455004281937,74.6186434211761,0.672194281472237
"indirect",0.85,"R0 25th pct (2.0)",1.99157647802648,33.9893838102627,0.125469318115668
"indirect",0.85,"R0 median (2.8)",2.80808526201542,36.8567386374045,0.176909371506971
"indirect",0.85,"R0 75th pct (4.1)",4.12642819800479,40.8169727315097,0.259964976474302
"indirect",0.85,"R0 90th pct (9.1)",9.1455004281937,62.3927759732621,0.576166526976203
"indirect",0.875,"R0 25th pct (2.0)",1.99157647802648,33.6059797941167,0.10455776509639
"indirect",0.875,"R0 median (2.8)",2.80808526201542,36.1968713644419,0.14742447625581
"indirect",0.875,"R0 75th pct (4.1)",4.12642819800479,39.5498614203202,0.216637480395251
"indirect",0.875,"R0 90th pct (9.1)",9.1455004281937,54.4707551535899,0.480138772480169
