"N","R0","yr","prev_sq","prev_vx","p_free_vx","remaining"
10,2,1.48219178082192,0.496463429875078,0.465703322208837,0.003,0.938041543817273
10,2,1.64657534246575,0.494121504478064,0.459251622921282,0.0035,0.929430552524496
10,2,1.81095890410959,0.49319211366334,0.452093969384159,0.0045,0.9166690968071
10,2,1.97534246575342,0.492033084450809,0.445352877579077,0.0055,0.905127910404979
10,2,2.13972602739726,0.490935511536537,0.436755380590771,0.0065,0.889639006198203
10,2,2.3041095890411,0.490769521152222,0.428642063251506,0.009,0.873408076045851
10,2,2.46849315068493,0.488027013475001,0.423371536205882,0.012,0.867516601573468
10,2,2.63287671232877,0.485734927444771,0.419455410009667,0.014,0.86354796888136
10,2,2.7972602739726,0.485535124103623,0.411029180425697,0.018,0.846548807739759
10,2,2.96164383561644,0.483723502392001,0.403125294135259,0.021,0.833379590079487
10,2,3.12602739726027,0.481713142499056,0.400272734474418,0.022,0.830935881047095
10,2,3.29041095890411,0.478084005582425,0.3944874811506,0.023,0.82514260369371
10,2,3.45479452054795,0.474768352049138,0.389606351009503,0.027,0.820624098737693
10,2,3.61917808219178,0.473846533424436,0.384787292620464,0.0305,0.812050454056611
10,2,3.78356164383562,0.471568907694043,0.380209612766965,0.033,0.806265227761045
10,2,3.94794520547945,0.469163660528928,0.372876077549471,0.0385,0.794767602267185
10,2,4.11232876712329,0.468135265409685,0.366859771234976,0.0415,0.783661899331428
10,2,4.27671232876712,0.465310911446225,0.362729529980702,0.047,0.779542282499476
10,2,4.44109589041096,0.46097710139233,0.35599594368181,0.0545,0.772263833944385
10,2,4.60547945205479,0.459955916400421,0.351725028798171,0.0625,0.764692911335381
10,2,4.76986301369863,0.460196684866131,0.346657468655785,0.068,0.753281107960667
10,2,4.93424657534247,0.459546145067952,0.342601365103764,0.072,0.745521138150565
10,2,5.0986301369863,0.456509828200695,0.338274566085789,0.0785,0.741001716039887
10,2,5.26301369863014,0.454908523607885,0.335417294648506,0.0835,0.737329105175492
10,2,5.42739726027397,0.451124921571806,0.329996717113726,0.09,0.731497421964527
10,2,5.59178082191781,0.44981656869747,0.32677236821486,0.095,0.726456940350357
10,2,5.75616438356164,0.447961085067845,0.324861361729086,0.101,0.72519996168838
10,2,5.92054794520548,0.446104811476793,0.318641089882769,0.1045,0.714274048800179
10,2,6.08493150684932,0.444190275839403,0.316095994702322,0.11,0.711622950558707
10,2,6.24931506849315,0.441822850281384,0.311689995687577,0.1155,0.705463729386271
10,2,6.41369863013699,0.443074134401031,0.310550872207857,0.122,0.700900477134995
10,2,6.57808219178082,0.440255108396207,0.304373960705617,0.13,0.691358157806306
10,2,6.74246575342466,0.437900371210877,0.298694738867327,0.1375,0.682106612610031
10,2,6.90684931506849,0.43637117334476,0.295755728028851,0.143,0.677761836928641
10,2,7.07123287671233,0.434022922945349,0.291573663728772,0.1485,0.671793235597113
10,2,7.23561643835616,0.434364845433634,0.28838368773899,0.158,0.66392041338219
10,2,7.4,0.434251268249295,0.284374369402098,0.1655,0.654861344558801
10,2,7.56438356164384,0.430460028361731,0.281775474235517,0.172,0.654591496701596
10,2,7.72876712328767,0.427281021534608,0.278994151849183,0.177,0.652952361064755
10,2,7.89315068493151,0.425199744454941,0.275387450197777,0.1835,0.64766607644789
10,2,8.05753424657534,0.424382462407396,0.273580217644898,0.1905,0.644654861779534
10,2,8.22191780821918,0.421285967139118,0.269445005789704,0.196,0.63957745286286
10,2,8.38630136986301,0.420194574888905,0.264138517066812,0.2005,0.628610012722434
10,2,8.55068493150685,0.417609088802532,0.26118771830165,0.207,0.625435904784998
10,2,8.71506849315069,0.416687803557811,0.258666086620208,0.2145,0.620767117279738
10,2,8.87945205479452,0.414771775427445,0.255100347549767,0.22,0.615037865792272
10,2,9.04383561643836,0.410810435797433,0.250157246006917,0.227,0.608935957338405
10,2,9.20821917808219,0.408082610856281,0.247160666225759,0.235,0.605663313384369
10,2,9.37260273972603,0.408616969444814,0.243249098437682,0.2405,0.595298572078843
10,2,9.53698630136986,0.407222405382958,0.241239775654772,0.248,0.592403002550674
10,2,9.7013698630137,0.403255130116701,0.237600792916234,0.2525,0.589207117706036
10,2,9.86575342465753,0.402166061852683,0.234512093440615,0.2575,0.58312253490579
10,2,10.0301369863014,0.400413110077487,0.232416941912371,0.267,0.580442887765074
10,2,10.1945205479452,0.399892060845931,0.230605782597781,0.272136068034017,0.576670069693202
10,2,10.358904109589,0.398345182198767,0.227324469292112,0.2795,0.570672068976302
10,2,10.5232876712329,0.397565716805704,0.224170186434017,0.285,0.563856934735579
10,2,10.6876712328767,0.395664296928132,0.219365554753984,0.2925,0.554423425254942
10,2,10.8520547945205,0.394941002861088,0.216249569782213,0.3015,0.547549047112422
10,2,11.0164383561644,0.390828843814574,0.213263720799325,0.3095,0.545670372528866
10,2,11.1808219178082,0.388764381653778,0.210578934341802,0.3155,0.541662107639628
10,2,11.3452054794521,0.387514067554393,0.209412154892321,0.3225,0.540398845941064
10,2,11.5095890410959,0.385739096824621,0.20748109684648,0.3275,0.537879355643364
10,2,11.6739726027397,0.384491486027303,0.20436453796032,0.335,0.531519020282826
10,2,11.8383561643836,0.382481335077891,0.202347715468226,0.3425,0.529039450845409
10,2,12.0027397260274,0.38227911973862,0.200385477698128,0.348674337168584,0.524186300928859
10,2,12.1671232876712,0.381287441362051,0.198875402978944,0.3545,0.52158917762545
10,2,12.3315068493151,0.378079917920786,0.198221226863951,0.362,0.524283934343961
10,2,12.4958904109589,0.376573633802988,0.195662319479327,0.3685,0.519585817794381
10,2,12.6602739726027,0.374861815781398,0.1930068643796,0.373,0.514874698499975
10,2,12.8246575342466,0.375182727116626,0.190082304736476,0.3815,0.50663927467372
10,2,12.9890410958904,0.372661433621045,0.188150706720629,0.387,0.504883762433966
10,2,13.1534246575342,0.370233077818295,0.186097471620227,0.394,0.502649500462952
10,2,13.3178082191781,0.370280532837905,0.183539162219285,0.4035,0.495675969818352
10,2,13.4821917808219,0.36949387139778,0.180493945820168,0.4105,0.488489687629641
10,2,13.6465753424658,0.368667383762179,0.178801775107343,0.4145,0.484994829981176
10,2,13.8109589041096,0.369125206441306,0.175564726299579,0.4215,0.475623780863351
10,2,13.9753424657534,0.367103487358015,0.17311501483758,0.4275,0.471570063481176
10,2,14.1397260273973,0.366638452203504,0.17114011231072,0.4315,0.466781679014202
10,2,14.3041095890411,0.362771791291354,0.169341805459762,0.435,0.46679981609639
10,2,14.4684931506849,0.360454308915629,0.166858482754476,0.44,0.462911605236305
10,2,14.6328767123288,0.360830071179923,0.165079905038632,0.4455,0.457500408707114
10,2,14.7972602739726,0.360082882253625,0.162347794684675,0.451,0.450862295004419
10,2,14.9616438356164,0.359378870125832,0.160360576695406,0.4555,0.446215929832653
10,2,15.1260273972603,0.359175783620404,0.157560619674144,0.462,0.438672724775517
10,2,15.2904109589041,0.358391956613648,0.153444393785609,0.4695,0.428146868125795
10,2,15.4547945205479,0.355642894004001,0.152479602576216,0.479,0.428743565939212
10,2,15.6191780821918,0.353565430967811,0.151377243816574,0.482,0.428144921866966
10,2,15.7835616438356,0.353499627084302,0.149034331219513,0.4885,0.421596855557562
10,2,15.9479452054795,0.352420465061255,0.14863438829832,0.4935,0.421752999708703
10,2,16.1123287671233,0.350027304669874,0.148671387814673,0.497,0.424742258192946
10,2,16.2767123287671,0.347371949546857,0.146292388869637,0.502,0.421140477981811
10,2,16.441095890411,0.345417806602153,0.144005029808513,0.506,0.416901002368925
10,2,16.6054794520548,0.342615239344419,0.142963586503795,0.513,0.417271534031442
10,2,16.7698630136986,0.342699404181989,0.142632335502904,0.52,0.416202461289253
10,2,16.9342465753425,0.341881817739364,0.140215001424444,0.525,0.410127108693853
10,2,17.0986301369863,0.343015321986665,0.139097532605853,0.5305,0.405514050510142
10,2,17.2630136986301,0.341164779196552,0.137704914830611,0.535,0.403631685412863
10,2,17.427397260274,0.339675081256892,0.137128247466328,0.5405,0.403704172113289
10,2,17.5917808219178,0.336153532865201,0.135238139483496,0.549,0.402310629701835
10,2,17.7561643835616,0.334668107725496,0.133405719274276,0.5545,0.398620950711261
10,2,17.9205479452055,0.331334606248166,0.133126210644361,0.558,0.40178782455537
10,2,18.0849315068493,0.328255453452514,0.131027071608302,0.5615,0.399161903420614
10,2,18.2493150684931,0.325929966738064,0.130700732269966,0.5665,0.401008638690177
10,2,18.413698630137,0.325146638886229,0.129046885867625,0.5705,0.396888266505437
10,2,18.5780821917808,0.32338107031857,0.128644434182743,0.5725,0.39781065124193
10,2,18.7424657534247,0.31990526256724,0.127468492665745,0.5785,0.398457004560695
10,2,18.9068493150685,0.319602911776906,0.126367760380744,0.5815,0.39538989078095
10,2,19.0712328767123,0.319241581678985,0.126780461497567,0.5855,0.397130163404126
10,2,19.2356164383562,0.317824653019409,0.125972320872712,0.5905,0.396357927794288
10,2,19.4,0.318222529597763,0.125677111308884,0.5945,0.394934675014182
10,2,19.5643835616438,0.317207506041001,0.123645399494297,0.597,0.38979342272662
10,2,19.7287671232877,0.314858123661684,0.122452197220135,0.6005,0.38891230055004
10,2,19.8931506849315,0.313230757318877,0.120929793591491,0.6055,0.386072538426938
10,2,20.0575342465753,0.312711180778566,0.118757807714133,0.61,0.379768345405683
10,2,20.2219178082192,0.311707052776944,0.1170466436517,0.6165,0.375502070321962
10,2,20.386301369863,0.311431691886974,0.116613039312768,0.62,0.374441787238179
10,2,20.5506849315069,0.310293014937849,0.114395880781156,0.6255,0.368670499411883
10,2,20.7150684931507,0.309516911464009,0.112118954534028,0.63,0.362238541356941
10,2,20.8794520547945,0.307211753494184,0.111940389566144,0.633,0.364375347925168
10,2,21.0438356164384,0.306757382793935,0.11132827128367,0.636,0.362919615070699
10,2,21.2082191780822,0.305074812861287,0.108567413335718,0.6395,0.355871441229343
10,2,21.372602739726,0.301708511382408,0.107906403746323,0.643,0.357651175473647
10,2,21.5369863013699,0.300380711664497,0.107468271709371,0.646,0.357773543826626
10,2,21.7013698630137,0.29981651773579,0.106808624611972,0.648,0.356246631835328
10,2,21.8657534246575,0.29803857699533,0.106239293826658,0.6505,0.356461552385962
10,2,22.0301369863014,0.297097354275785,0.104863805746197,0.6545,0.352961089141359
10,2,22.1945205479452,0.296491393028196,0.103517269688516,0.658,0.34914089286454
10,2,22.358904109589,0.292945438865516,0.100888698953695,0.6615,0.344394162081529
10,2,22.5232876712329,0.293570965553222,0.0989545051719007,0.668,0.337071838781554
10,2,22.6876712328767,0.291677988138882,0.0981204856396613,0.6725,0.336400035757725
10,2,22.8520547945205,0.290325703078741,0.0974014938321053,0.675,0.335490426094614
10,2,23.0164383561644,0.288509761098035,0.0957643511910347,0.679,0.331927595193197
10,2,23.1808219178082,0.287821975156766,0.0950955505730079,0.683,0.330397116207728
10,2,23.3452054794521,0.286291745805981,0.0940626595197029,0.6855,0.328555261888161
10,2,23.5095890410959,0.285998406423653,0.092356949683014,0.6895,0.322928196831295
10,2,23.6739726027397,0.284944761389711,0.0919543007903689,0.6915,0.322709216838718
10,2,23.8383561643836,0.283363206143701,0.0919462640945225,0.695,0.324482014958195
10,2,24.0027397260274,0.281199398696419,0.0907999754974987,0.699,0.322902452560099
10,2,24.1671232876712,0.280897805449624,0.0904834826207506,0.703,0.322122426253621
10,2,24.3315068493151,0.280530455565247,0.0887489642967972,0.706,0.316361245405513
10,2,24.4958904109589,0.280851080025925,0.0880754894894407,0.709,0.313602103582121
10,2,24.6602739726027,0.277605392875808,0.0872841791314121,0.71,0.3144181682755
10,2,24.8246575342466,0.275590281110359,0.0863212644685423,0.710855427713857,0.31322318087834
10,2,24.9890410958904,0.276552057567905,0.0853474679249797,0.713856928464232,0.308612666546599
10,2,25.1534246575342,0.274819892553697,0.0839226454724325,0.718,0.305373256253766
10,2,25.3178082191781,0.273819811006847,0.0817939636816571,0.7225,0.298714557507353
10,2,25.4821917808219,0.271079289623775,0.080922881966245,0.725,0.298521078753586
10,2,25.6465753424658,0.27070685020389,0.0801578732950057,0.7265,0.2961058179157
10,2,25.8109589041096,0.270265270114303,0.0787346034748705,0.7295,0.291323422508454
10,2,25.9753424657534,0.269085697616367,0.0782532165954959,0.731,0.290811504619843
10,2,26.1397260273973,0.267834737340833,0.0766945103507603,0.7355,0.286350124379732
10,2,26.3041095890411,0.267038663445687,0.0744202467144998,0.739,0.278687159957404
10,2,26.4684931506849,0.265925573121839,0.074204121242105,0.7415,0.279040937548744
10,2,26.6328767123288,0.263763868301891,0.072273021102994,0.7435,0.274006525489208
10,2,26.7972602739726,0.263182706421116,0.0717643245729159,0.7465,0.272678724027127
10,2,26.9616438356164,0.261421190827576,0.0712960013928281,0.7475,0.272724644728025
10,2,27.1260273972603,0.260953075499921,0.0701747769387475,0.7505,0.268917225076999
10,2,27.2904109589041,0.260582409551663,0.0697955628113716,0.7525,0.267844490852074
10,2,27.4547945205479,0.259233861198141,0.0692875442260698,0.7555,0.267278139922898
10,2,27.6191780821918,0.257059085124971,0.0683296447790255,0.758,0.265812992938205
10,2,27.7835616438356,0.257705004734687,0.0672065752659793,0.762,0.260788785748146
10,2,27.9479452054795,0.257169560146166,0.0664598349964449,0.7635,0.25842807740804
10,2,28.1123287671233,0.256023163888915,0.0660823906958195,0.7675,0.258110983756501
10,2,28.2767123287671,0.255798291281676,0.0652211232932014,0.769,0.254970910737564
10,2,28.441095890411,0.256052184978596,0.0637299053586593,0.7745,0.248894206327459
10,2,28.6054794520548,0.254810183169084,0.0633921137943584,0.778,0.248781712747694
10,2,28.7698630136986,0.252353661624753,0.0631442192503919,0.779,0.250221133483241
10,2,28.9342465753425,0.25164845396047,0.0623083094257823,0.786,0.247600604912001
10,2,29.0986301369863,0.249327354009939,0.0611414913625247,0.7885,0.245225765962636
10,2,29.2630136986301,0.248183063988385,0.0604001777999262,0.7895,0.24336945813012
10,2,29.427397260274,0.248355336203614,0.0598457276577052,0.791,0.240968157046727
10,2,29.5917808219178,0.247601813683393,0.059325460308955,0.7935,0.239600265549
10,2,29.7561643835616,0.246581003228797,0.0593026257175057,0.794,0.240499571909358
10,2,29.9205479452055,0.244906289756425,0.0591126182060973,0.795,0.241368313835012
10,2,30.0849315068493,0.242406569234859,0.0583792178689043,0.7985,0.240831830808772
10,2,30.2493150684931,0.242319057020121,0.0577251108239885,0.8035,0.238219443133584
10,2,30.413698630137,0.242217790102484,0.0568466816723008,0.807,0.234692429685898
10,2,30.5780821917808,0.239538537170174,0.0570273161522,0.8085,0.238071572223414
10,2,30.7424657534247,0.238603453576867,0.0556408846098862,0.811,0.233193961679022
10,2,30.9068493150685,0.238332090316804,0.0554495366561543,0.8135,0.232656611967141
10,2,31.0712328767123,0.236220656639542,0.0542235465386007,0.816,0.229546168019262
10,2,31.2356164383562,0.235042216394287,0.0534111575795206,0.8165,0.227240699134332
10,2,31.4,0.2343174741907,0.0536581543606892,0.8195,0.228997664583135
10,2,31.5643835616438,0.232897722773947,0.052444190630491,0.824,0.225181208325484
10,2,31.7287671232877,0.230035218801479,0.0521240869016604,0.8255,0.226591767874656
10,2,31.8931506849315,0.229096439881554,0.0516651607465462,0.827,0.225517082558148
10,2,32.0575342465753,0.228341675878731,0.0513666316376262,0.829,0.224955131120726
10,2,32.2219178082192,0.226883715033676,0.0509575996565354,0.83,0.224597872301993
10,2,32.386301369863,0.225555182934111,0.051437619121075,0.832,0.22804893442019
10,2,32.5506849315069,0.222076127652018,0.050517606617239,0.8345,0.227478780143346
10,2,32.7150684931507,0.220473030542729,0.0503088123885918,0.8355,0.228185788823009
10,2,32.8794520547945,0.222293889203332,0.0500473545653693,0.837,0.225140487418397
10,2,33.0438356164384,0.220178717977499,0.04910846149035,0.839,0.223039092703631
10,2,33.2082191780822,0.220190353216185,0.0481845308286485,0.842,0.218831252708607
10,2,33.372602739726,0.220110852376468,0.0476022502931365,0.8435,0.216264894616462
10,2,33.5369863013699,0.218883149865271,0.0459003634437458,0.845,0.209702590044044
10,2,33.7013698630137,0.218017306766591,0.0456329259234058,0.8465,0.209308731495616
10,2,33.8657534246575,0.216609571051154,0.0455157905196798,0.8485,0.210128251945668
10,2,34.0301369863014,0.214052257127547,0.0459644419069922,0.849,0.214734675185431
10,2,34.1945205479452,0.213928216694296,0.0447285684344895,0.8505,0.209082135707262
10,2,34.358904109589,0.213645246181837,0.044133213123306,0.854,0.206572408757195
10,2,34.5232876712329,0.214271911776304,0.0429711438071732,0.8555,0.200544921874941
10,2,34.6876712328767,0.211466933794777,0.0427517649189475,0.8565,0.202167611511485
10,2,34.8520547945205,0.211630407763885,0.0423377565374082,0.8585,0.200055166857895
10,2,35.0164383561644,0.209947814726675,0.0422032730749643,0.859,0.201017920238453
10,2,35.1808219178082,0.209557902673092,0.0417354073085497,0.861,0.199159310034022
10,2,35.3452054794521,0.207064566464238,0.0403959205010676,0.8645,0.195088523308716
10,2,35.5095890410959,0.203119368823471,0.0396077684312591,0.8655,0.194997496598573
10,2,35.6739726027397,0.203462383041795,0.03905648886717,0.868,0.191959261870766
10,2,35.8383561643836,0.202410811290533,0.0385516508452848,0.869,0.190462409589126
10,2,36.0027397260274,0.201096086966869,0.0378520981874129,0.870935467733867,0.18822891463646
10,2,36.1671232876712,0.201341976446756,0.0373981808143936,0.87343671835918,0.185744579815841
10,2,36.3315068493151,0.201564814169748,0.0368789290050617,0.874437218609305,0.182963128544866
10,2,36.4958904109589,0.202299720495792,0.0360147191831997,0.875937968984492,0.178026539507497
10,2,36.6602739726027,0.200728862543975,0.0355651542901543,0.8765,0.177180071861179
10,2,36.8246575342466,0.199743588661081,0.0357911217244228,0.8775,0.179185334379629
10,2,36.9890410958904,0.198579226142365,0.035746773853082,0.8795,0.180012655641303
10,2,37.1534246575342,0.198883941544352,0.0353870467123176,0.8805,0.177928124500822
10,2,37.3178082191781,0.196279863475877,0.0347351931844385,0.8835,0.176967685677586
10,2,37.4821917808219,0.195669110451812,0.0345851081171001,0.884,0.176753029833074
10,2,37.6465753424658,0.194683580688747,0.034303237210416,0.885,0.176199950139908
10,2,37.8109589041096,0.194181859190618,0.0338954150832828,0.8855,0.174555003359039
10,2,37.9753424657534,0.193544968668672,0.0338419838868562,0.8855,0.174853338320512
10,2,38.1397260273973,0.194293454792971,0.0330453104128414,0.8885,0.17007938043025
10,2,38.3041095890411,0.193384602350526,0.0322264364398072,0.889,0.16664427285371
10,2,38.4684931506849,0.192828810452533,0.0322355923435047,0.892,0.167172074898216
10,2,38.6328767123288,0.192273496848439,0.0326093530330179,0.8925,0.169598793216532
10,2,38.7972602739726,0.192239180719521,0.0325581403546574,0.8925,0.169362667031753
10,2,38.9616438356164,0.192292845072025,0.0324507795674398,0.893,0.168757082746813
10,2,39.1260273972603,0.19279412910361,0.0320456170549437,0.8945,0.166216768134687
10,2,39.2904109589041,0.19089405321201,0.0326786153346138,0.8945,0.171187183596131
10,2,39.4547945205479,0.190329167242287,0.0323550278969396,0.8965,0.169995110921449
10,2,39.6191780821918,0.189721847499266,0.0319855878190436,0.8975,0.168592011097549
10,2,39.7835616438356,0.189666105558223,0.0320292553851377,0.898,0.168871793359544
10,2,39.9479452054794,0.189697789080859,0.0313230244793906,0.8985,0.165120661822996
10,2,40.1123287671233,0.188877286011496,0.030928170889568,0.9,0.163747433810996
10,2,40.2767123287671,0.187608588192259,0.0305214705981153,0.9005,0.162686958482078
10,2,40.441095890411,0.186253815397915,0.0302904915432005,0.9015,0.162630180103894
10,2,40.6054794520548,0.186955894377078,0.0295682651584742,0.9015,0.158156367612764
10,2,40.7698630136986,0.185751509368233,0.0291113969363969,0.903,0.15672226317519
10,2,40.9342465753425,0.184477866315321,0.0282506717547159,0.9035,0.153138543495662
10,2,41.0986301369863,0.183251063515944,0.0278639399407782,0.904,0.152053360052417
10,2,41.2630136986301,0.181912900422562,0.0274140865541407,0.906,0.150698969069599
10,2,41.427397260274,0.182672238515795,0.0270543433690492,0.906,0.14810320160778
10,2,41.5917808219178,0.180214613447653,0.0268349535676741,0.907,0.148905535762608
10,2,41.7561643835616,0.180387548813514,0.0269379368588928,0.9085,0.14933368204222
10,2,41.9205479452055,0.179305627170817,0.0271772629997281,0.909,0.151569492985502
10,2,42.0849315068493,0.17861228107333,0.0270525042359601,0.9095,0.151459373752993
10,2,42.2493150684932,0.175880900484964,0.0275836027534557,0.9105,0.156831143560206
10,2,42.413698630137,0.174150387117183,0.0272043422349924,0.9115,0.156211781583276
10,2,42.5780821917808,0.173894453832631,0.0267837028253824,0.913,0.154022754809426
10,2,42.7424657534247,0.171786594281621,0.0259651169178259,0.9155,0.151147515476438
10,2,42.9068493150685,0.170643444691703,0.0257255424314248,0.916,0.150756113004531
10,2,43.0712328767123,0.170611154366359,0.0252418918048755,0.9185,0.147949833049443
10,2,43.2356164383562,0.168590703572145,0.0248489851844921,0.92,0.147392380825189
10,2,43.4,0.169140586498984,0.0246647090096006,0.922,0.145823716945363
10,2,43.5643835616438,0.168600918828763,0.023979705603564,0.9235,0.142227609257092
10,2,43.7287671232877,0.167676201556871,0.0238419984276989,0.9245,0.142190711659295
10,2,43.8931506849315,0.167789641614835,0.0234850871544177,0.9255,0.13996744333198
10,2,44.0575342465753,0.167919898292712,0.0229869475704035,0.926,0.136892338574035
10,2,44.2219178082192,0.16747759788586,0.0227846856574798,0.927,0.13604616942863
10,2,44.386301369863,0.167651824772665,0.0225828805181746,0.9275,0.134701071991295
10,2,44.5506849315069,0.166796844293477,0.0217438241497065,0.9275,0.13036112428751
10,2,44.7150684931507,0.168612369858384,0.021759090296958,0.9275,0.129048007066345
10,2,44.8794520547945,0.168030317489528,0.0216525257830405,0.9285,0.128860827656235
10,2,45.0438356164384,0.166450189222113,0.0212649272296331,0.9285,0.127755500483433
10,2,45.2082191780822,0.165489627516446,0.0207735796259983,0.929,0.125527985878957
10,2,45.372602739726,0.165569498556999,0.0207949932205737,0.9295,0.125596763907664
10,2,45.5369863013699,0.166676160967086,0.0207388617295158,0.9295,0.12442608234546
10,2,45.7013698630137,0.166713550033558,0.0201951573538261,0.9295,0.121136868297514
10,2,45.8657534246575,0.165269299755542,0.019809589022089,0.9295,0.119862485358081
10,2,46.0301369863014,0.164428912262058,0.0191578262209067,0.9295,0.116511299365491
10,2,46.1945205479452,0.162953979796153,0.0181976017446606,0.93,0.111673257489168
10,2,46.358904109589,0.161295858179488,0.0178949876705682,0.931,0.110945115842062
10,2,46.5232876712329,0.160992237788871,0.0178035391487597,0.932,0.110586320143632
10,2,46.6876712328767,0.160757779184442,0.017395145459116,0.933,0.108207176955077
10,2,46.8520547945205,0.160499578207422,0.0175383112480055,0.933,0.109273254446437
10,2,47.0164383561644,0.159042918750235,0.0177415921904893,0.934,0.111552229611374
10,2,47.1808219178082,0.157573094226035,0.0175423271366576,0.934,0.111328188500846
10,2,47.3452054794521,0.155370492934998,0.0174115313393177,0.935,0.112064594830128
10,2,47.5095890410959,0.156078611228233,0.0165919755897697,0.9355,0.106305248741016
10,2,47.6739726027397,0.155451872873335,0.0164652957336781,0.9365,0.105918928021499
10,2,47.8383561643836,0.154044020051586,0.016367683623566,0.937,0.106253287976286
10,2,48.0027397260274,0.155798350881575,0.0160801790529732,0.9375,0.103211484344889
10,2,48.1671232876712,0.153463516035908,0.0162234079645844,0.9385,0.105715080584941
10,2,48.3315068493151,0.153003713496742,0.0160928828116328,0.9395,0.10517968775951
