"R0","N","schedule","p_free_20","p_free_50","se_free_20","se_free_50","p_extinct","se_mp20","se_mp50","mp20","mp50","reps"
1.5,200,"Lifelong immunity, calves only (paper assumption)",0.134,0.9975,0.00761721733968514,0.00111663557170635,0,0.000382450640516297,0.000165645478781298,0.129052468494732,0.0529346869121569,2000
1.5,200,"No vaccination (status quo)",0,0,0,0,0,0.0007508224397993,0.000649149116121221,0.327438058240227,0.324730459426194,2000
2,5,"18-month immunity, annual whole-herd booster",0.9425,0.9995,0.00520546587732549,0.000499874984371065,0.114,0.00256185190116324,0.00111736268236955,0.180291002946241,0.0736062129097206,2000
2,5,"18-month immunity, calves only",0.8505,0.9955,0.00797338541649656,0.00149662119455792,0.1155,0.00357111099386071,0.00202678569228874,0.246269734324137,0.109869026880521,2000
2,5,"18-month immunity, six-monthly whole-herd booster",0.9375,0.9995,0.00541265877365274,0.000499874984371065,0.108,0.00254802127561977,0.00109741205913799,0.179951161380288,0.0742943197348704,2000
2,5,"Lifelong immunity, calves only (paper assumption)",0.937,0.9995,0.00543281694887652,0.000499874984371065,0.112,0.00260308670365635,0.00114064311751372,0.194014297528416,0.0785264882885932,2000
2,5,"No vaccination (status quo)",0.708,0.9625,0.010167005458836,0.00424816136699161,0.099,0.00481760433895935,0.00370746424038609,0.341567193974299,0.183907882346846,2000
2,10,"18-month immunity, annual whole-herd booster",0.888,0.9995,0.00705180827873248,0.000499874984371065,0.001,0.00173416937861186,0.000757191373513469,0.165079085435303,0.0675280800943253,2000
2,10,"18-month immunity, calves only",0.6305,0.951,0.0107928158976238,0.00482695556225661,5e-04,0.00277615487868772,0.00200736686740558,0.25449483275046,0.128069250834098,2000
2,10,"18-month immunity, six-monthly whole-herd booster",0.902,1,0.00664815763952691,0,0.0015,0.0016278241460256,0.000710714870114271,0.15542709341693,0.0636241911747016,2000
2,10,"Lifelong immunity, calves only (paper assumption)",0.865,0.9995,0.00764117137617002,0.000499874984371065,0.002,0.00187229405280939,0.00083082043993653,0.185916853651297,0.0763446081222436,2000
2,10,"No vaccination (status quo)",0.353,0.7065,0.0106862294566419,0.0101822824062191,0.002,0.0036781433813495,0.00394422709126477,0.39613978841909,0.281619912151876,2000
2,20,"18-month immunity, annual whole-herd booster",0.768,0.9995,0.00943864397040168,0.000499874984371065,0,0.00127098251701842,0.000558645746121146,0.168436009857839,0.0690476203220416,2000
2,20,"18-month immunity, calves only",0.308,0.7975,0.0103231778053078,0.00898592649647214,0,0.00205041906021161,0.00199849941191955,0.281476973159024,0.166887504789693,2000
2,20,"18-month immunity, six-monthly whole-herd booster",0.788,0.9995,0.00913936540466569,0.000499874984371065,0,0.0012222986365319,0.000536809734784371,0.161427043452768,0.066042659959158,2000
2,20,"Lifelong immunity, calves only (paper assumption)",0.726,0.9995,0.00997306372184596,0.000499874984371065,0,0.00134980375111035,0.000600578219476277,0.188742025731938,0.0778542226328911,2000
2,20,"No vaccination (status quo)",0.066,0.1985,0.00555175647880921,0.00891901760285291,0,0.00239037180424997,0.00283281015826327,0.456023041631159,0.414792701159107,2000
2,50,"18-month immunity, annual whole-herd booster",0.513,0.999,0.0111765602937576,0.000706753139363385,0,0.000799443823844538,0.00035335617741378,0.170522929942187,0.070008096249289,2000
2,50,"18-month immunity, calves only",0.0325,0.321,0.00396508196636589,0.0104393246908026,0,0.00131175230162622,0.00149851229818601,0.30152378519798,0.215412242551422,2000
2,50,"18-month immunity, six-monthly whole-herd booster",0.537,0.997,0.011149686094236,0.00122290637417588,0,0.000775785404034005,0.000343244013887884,0.162793869048597,0.0668509595822394,2000
2,50,"Lifelong immunity, calves only (paper assumption)",0.453,0.998,0.0111308355481518,0.000998999499499375,0,0.000864710127314715,0.00038723983596879,0.191211898595977,0.0788718923872914,2000
2,50,"No vaccination (status quo)",0,0.002,0,0.000998999499499374,0,0.00121366238952927,0.000978777025609705,0.484430555390163,0.478321985927428,2000
2,100,"18-month immunity, annual whole-herd booster",0.253,0.999,0.00972087958983136,0.000706753139363385,0,0.000581906051701547,0.000261448210249244,0.171461921890062,0.0705358341772997,2000
2,100,"18-month immunity, calves only",0.001,0.0615,0.000706753139363385,0.00537204569973116,0,0.000940323389240617,0.00101465898957908,0.308638298833055,0.236287508526139,2000
2,100,"18-month immunity, six-monthly whole-herd booster",0.271,0.998,0.00993878765242522,0.000998999499499375,0,0.000558404723863809,0.000249572736359849,0.162943602458225,0.0669815584208756,2000
2,100,"Lifelong immunity, calves only (paper assumption)",0.1805,0.9965,0.00859999273255507,0.00132055859392909,0,0.000604632374540349,0.000270823591847531,0.193088227272157,0.0797781531816304,2000
2,100,"No vaccination (status quo)",0,0,0,0,0,0.000817578664219336,0.000598102006427076,0.492341582670571,0.490697139154778,2000
2,200,"18-month immunity, annual whole-herd booster",0.0745,0.992,0.00587153089066216,0.0019919839356782,0,0.000420081876240743,0.00018664377053949,0.171624491729628,0.070547587864611,2000
2,200,"18-month immunity, calves only",0,0.0015,0,0.000865375640979107,0,0.000631859483302264,0.000637048302304811,0.312447560671576,0.247369168345963,2000
2,200,"18-month immunity, six-monthly whole-herd booster",0.073,0.9975,0.00581682903307292,0.00111663557170635,0,0.000385859689916633,0.000170558246600711,0.163147921033378,0.0670327164295241,2000
2,200,"Lifelong immunity, calves only (paper assumption)",0.028,0.9945,0.00368890227574546,0.00165374574829385,0,0.000424185820622504,0.000189162680151562,0.192591654697273,0.0793860242453365,2000
2,200,"No vaccination (status quo)",0,0,0,0,0,0.000557803072211642,0.000405551270387731,0.49683698363421,0.495684468546725,2000
3,5,"18-month immunity, annual whole-herd booster",0.912,1,0.00633466652634533,0,0.1055,0.00296471346229275,0.00133884212381213,0.217377986139498,0.0901701103071352,2000
3,5,"18-month immunity, calves only",0.7735,0.9805,0.00935942706579842,0.00309190475273738,0.111,0.0042472519980076,0.00292320262121846,0.310382828694061,0.15301679102264,2000
3,5,"18-month immunity, six-monthly whole-herd booster",0.923,1,0.00596116599332714,0,0.107,0.00298596247130705,0.00135048055735551,0.212583631338565,0.0880199840849466,2000
3,5,"Lifelong immunity, calves only (paper assumption)",0.9195,1,0.0060835741961449,0,0.1035,0.00301199366701937,0.00133195619191791,0.22855250845317,0.0928329063317072,2000
3,5,"No vaccination (status quo)",0.536,0.861,0.0111513227914898,0.00773559952427735,0.1105,0.00541235590245749,0.00541693608004707,0.478539842186273,0.317254212521349,2000
3,10,"18-month immunity, annual whole-herd booster",0.806,1,0.00884205858383668,0,0.0025,0.0020775094339146,0.000955484268567982,0.244391560802117,0.101178427751087,2000
3,10,"18-month immunity, calves only",0.4365,0.8475,0.0110898095114389,0.00803877322730278,0.001,0.00311226457461278,0.00306020710373093,0.377532216933569,0.225283438864496,2000
3,10,"18-month immunity, six-monthly whole-herd booster",0.8145,0.9985,0.00869165548097714,0.000865375640979091,0.0015,0.00206666181581354,0.000937670830621146,0.235643128445152,0.097324358119435,2000
3,10,"Lifelong immunity, calves only (paper assumption)",0.7815,0.9995,0.00924006899324891,0.000499874984371065,0.0025,0.00207800544346161,0.000976305934030698,0.258455018656711,0.107348911639004,2000
3,10,"No vaccination (status quo)",0.125,0.3425,0.00739509972887452,0.0106111674664007,0.001,0.00309642169128355,0.00415326657233253,0.595414727652628,0.51941312637244,2000
3,20,"18-month immunity, annual whole-herd booster",0.6255,0.9985,0.0108224246359122,0.000865375640979091,0,0.00152459687981346,0.000707788926928446,0.243301842066751,0.101218798713201,2000
3,20,"18-month immunity, calves only",0.1235,0.433,0.00735689302627135,0.0110795081118252,0,0.00206854482274783,0.00265733506264063,0.414103392717652,0.312620782727033,2000
3,20,"18-month immunity, six-monthly whole-herd booster",0.644,0.9985,0.0107066334578148,0.000865375640979091,0,0.00149248019042294,0.000690101560663968,0.23197831623483,0.0963639326702198,2000
3,20,"Lifelong immunity, calves only (paper assumption)",0.586,0.9945,0.0110137187180352,0.00165374574829385,0,0.0015349188656812,0.000724551479668172,0.254647279320553,0.106369736676423,2000
3,20,"No vaccination (status quo)",0.006,0.0205,0.0017268468374468,0.00316857617866448,0,0.00142852547372591,0.00143458522213256,0.63949107203635,0.631231512288365,2000
3,50,"18-month immunity, annual whole-herd booster",0.2975,0.9935,0.0102223713002414,0.00179690706493129,0,0.000934688794828363,0.000453485213409888,0.246081670570565,0.102957416054775,2000
3,50,"18-month immunity, calves only",0.0025,0.0255,0.00111663557170636,0.00352489361541593,0,0.00114251945409555,0.00115418110431437,0.439868976447716,0.391173195529853,2000
3,50,"18-month immunity, six-monthly whole-herd booster",0.309,0.992,0.0103324488868806,0.0019919839356782,0,0.000964742270929946,0.000461333770449697,0.237858280087166,0.099323164267824,2000
3,50,"Lifelong immunity, calves only (paper assumption)",0.2505,0.9925,0.00968890473686268,0.00192921616207204,0,0.000963073773070166,0.000458951832699372,0.262946196995254,0.109822402017997,2000
3,50,"No vaccination (status quo)",0,0,0,0,0,0.000747984331299889,0.000520966148484398,0.658035671334389,0.656863784316653,2000
3,100,"18-month immunity, annual whole-herd booster",0.0685,0.988,0.00564835152942874,0.00243474844696531,0,0.00067584620230105,0.00032649690057127,0.250893565118658,0.105248591787645,2000
3,100,"18-month immunity, calves only",0,0,0,0,0,0.000767299502614664,0.000619735934240063,0.447819179049383,0.405128663263607,2000
3,100,"18-month immunity, six-monthly whole-herd booster",0.095,0.9875,0.0065564853389602,0.00248432586429397,0,0.000668777366704721,0.000316395549393202,0.240455844872331,0.100392127686966,2000
3,100,"Lifelong immunity, calves only (paper assumption)",0.05,0.9865,0.00487339717240448,0.00258047960658479,0,0.00067241791941635,0.000321992283318645,0.264502694575238,0.110820567118335,2000
3,100,"No vaccination (status quo)",0,0,0,0,0,0.000517191625339812,0.000364870781469972,0.662146429749549,0.662005998766077,2000
3,200,"18-month immunity, annual whole-herd booster",0.0055,0.977,0.00165374574829385,0.00335193973692846,0,0.000483520285988568,0.000233489190908361,0.2491284531523,0.104309612073201,2000
3,200,"18-month immunity, calves only",0,0,0,0,0,0.000513886962609361,0.000413198602061048,0.45090156875888,0.411022385976856,2000
