"strategy","revacc","redose_V","shape","k","D","f_bar","label","R0","Rv_bar"
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.5,0.994704111057061,"R0 median (2.8)",2.80808526201542,0.319890271502279
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,0.999706998057861,"R0 25th pct (2.0)",1.99157647802648,0.217999965069735
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,0.999706998057861,"R0 75th pct (4.1)",4.12642819800479,0.451682982277044
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,0.999706998057861,"R0 90th pct (9.1)",9.1455004281937,1.00107567843295
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,0.999706998057861,"R0 median (2.8)",2.80808526201542,0.307375838079194
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,0.999980381194,"R0 25th pct (2.0)",1.99157647802648,0.21751495705215
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,0.999980381194,"R0 75th pct (4.1)",4.12642819800479,0.450678074465518
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,0.999980381194,"R0 90th pct (9.1)",9.1455004281937,0.998848477478615
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,0.999980381194,"R0 median (2.8)",2.80808526201542,0.306691985924297
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,3,0.999998321066118,"R0 25th pct (2.0)",1.99157647802648,0.217483129990924
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,3,0.999998321066118,"R0 75th pct (4.1)",4.12642819800479,0.450612130684624
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,3,0.999998321066118,"R0 90th pct (9.1)",9.1455004281937,0.998702324717082
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,3,0.999998321066118,"R0 median (2.8)",2.80808526201542,0.306647110368401
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,4,0.999999976132517,"R0 25th pct (2.0)",1.99157647802648,0.217480193743705
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,4,0.999999976132517,"R0 75th pct (4.1)",4.12642819800479,0.450606046954748
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,4,0.999999976132517,"R0 90th pct (9.1)",9.1455004281937,0.998688841202644
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,4,0.999999976132517,"R0 median (2.8)",2.80808526201542,0.306642970315217
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,5,0.999999999318149,"R0 25th pct (2.0)",1.99157647802648,0.21748015261016
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,5,0.999999999318149,"R0 75th pct (4.1)",4.12642819800479,0.450605961728485
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,5,0.999999999318149,"R0 90th pct (9.1)",9.1455004281937,0.998688652313661
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,5,0.999999999318149,"R0 median (2.8)",2.80808526201542,0.306642912317694
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,7,0.999999999997686,"R0 25th pct (2.0)",1.99157647802648,0.217480151404596
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,7,0.999999999997686,"R0 75th pct (4.1)",4.12642819800479,0.450605959230628
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,7,0.999999999997686,"R0 90th pct (9.1)",9.1455004281937,0.998688646777601
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,7,0.999999999997686,"R0 median (2.8)",2.80808526201542,0.306642910617871
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,10,0.999999999999996,"R0 25th pct (2.0)",1.99157647802648,0.217480151400499
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,10,0.999999999999996,"R0 75th pct (4.1)",4.12642819800479,0.450605959222138
