"regime","D","k","revacc","redose_V","tau_days","m","herd","R0","T_elim","share_calves_infected_before_onset_first5y"
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,0,10,"R0 median (2.8)",2.80808526201542,40.1530668702323,0
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,0,10,"R0 75th pct (4.1)",4.12642819800479,49.5923798145144,0
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,15,10,"R0 median (2.8)",2.80808526201542,65.282677206012,0.142370292727227
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,15,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.22241155091307
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,15,10,"R0 median (2.8)",2.80808526201542,65.6318725772902,0.13389478456404
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,15,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.215989073181587
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,30,10,"R0 median (2.8)",2.80808526201542,Inf,0.264507767179455
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,30,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.383994464116002
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,30,10,"R0 median (2.8)",2.80808526201542,Inf,0.251110650667486
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,30,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.375762005115169
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,45,10,"R0 median (2.8)",2.80808526201542,Inf,0.362400059123858
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,45,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.494712648652194
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,45,10,"R0 median (2.8)",2.80808526201542,Inf,0.34695647093054
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,45,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.486574281552741
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,60,10,"R0 median (2.8)",2.80808526201542,Inf,0.439286936625276
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,60,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.572148714129838
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,60,10,"R0 median (2.8)",2.80808526201542,Inf,0.423395937243423
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,60,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.564606804296036
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,90,10,"R0 median (2.8)",2.80808526201542,Inf,0.548295493351695
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,90,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.670761662148902
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,90,10,"R0 median (2.8)",2.80808526201542,Inf,0.53331709578366
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,90,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.664472476945067
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,120,10,"R0 median (2.8)",2.80808526201542,Inf,0.619904087925417
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,120,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.729951001060278
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,120,10,"R0 median (2.8)",2.80808526201542,Inf,0.606348665991246
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,120,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.724617127569603
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,180,10,"R0 median (2.8)",2.80808526201542,Inf,0.706404688197424
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,180,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.796879987522537
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,180,10,"R0 median (2.8)",2.80808526201542,Inf,0.695240388991444
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,180,10,"R0 75th pct (4.1)",4.12642819800479,Inf,0.79275990744541
