"NA_adults","R0","policy","h","pi_src","programme","p","interval","p_free_20","p_free_50","prev_20","prev_50","median_T","herd_size_50"
20,3,"All purchased, source prevalence 50%",0,0.5,"No vaccination",0,NA,0,0,0.670195535336984,0.682255890504238,Inf,57.295
20,3,"All replacements home-bred",1,0,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.13,0.97,0.0738734002458866,0.00108264771497322,27.7424657534247,43.315
20,3,"All replacements home-bred",1,0,"No vaccination",0,NA,0,0,0.61891442011799,0.626389693473825,Inf,43.685
20,3,"Half purchased, source prevalence 20%",0.5,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.01,0.025,0.143522007124982,0.106174390848396,Inf,49.795
20,3,"Half purchased, source prevalence 20%",0.5,0.2,"No vaccination",0,NA,0,0,0.620115252507497,0.627134855182097,Inf,49.84
20,3,"Half purchased, source prevalence 5%",0.5,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.065,0.455,0.086300865039103,0.0267995345076465,33.1260273972603,50.29
20,3,"Half purchased, source prevalence 5%",0.5,0.05,"No vaccination",0,NA,0,0,0.603127406509039,0.607687769120133,Inf,50.2
20,3,"Half purchased, source prevalence 50%",0.5,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.25096943692044,0.216589368364812,Inf,50.53
20,3,"Half purchased, source prevalence 50%",0.5,0.5,"No vaccination",0,NA,0,0,0.660556593022344,0.659941488966172,Inf,49.39
20,5,"All purchased, source prevalence 20%",0,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.28351431246065,0.254581072839317,Inf,58.39
20,5,"All purchased, source prevalence 20%",0,0.2,"No vaccination",0,NA,0,0,0.769665120573836,0.775450696782923,Inf,57.065
20,5,"All purchased, source prevalence 5%",0,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.005,0.12,0.182957973944,0.0858010815150205,58.1123287671233,56.56
20,5,"All purchased, source prevalence 5%",0,0.05,"No vaccination",0,NA,0,0,0.751659940588158,0.754316924807184,Inf,56.99
20,5,"All purchased, source prevalence 50%",0,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.447200919502136,0.429818881724526,Inf,57.155
20,5,"All purchased, source prevalence 50%",0,0.5,"No vaccination",0,NA,0,0,0.800085605481389,0.801001858338396,Inf,56.375
20,5,"All replacements home-bred",1,0,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.015,0.865,0.153887351197841,0.00677100899201636,37.5643835616438,43.91
20,5,"All replacements home-bred",1,0,"No vaccination",0,NA,0,0,0.774538233515043,0.779437575638311,Inf,42.845
20,5,"Half purchased, source prevalence 20%",0.5,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.005,0.005,0.226058243413722,0.173030346062512,Inf,49.49
20,5,"Half purchased, source prevalence 20%",0.5,0.2,"No vaccination",0,NA,0,0,0.781083962682548,0.76355724236917,Inf,49.865
20,5,"Half purchased, source prevalence 5%",0.5,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.01,0.31,0.172662733028323,0.0511398288561735,45.3315068493151,49.475
20,5,"Half purchased, source prevalence 5%",0.5,0.05,"No vaccination",0,NA,0,0,0.753636784072484,0.765590774492326,Inf,51.11
20,5,"Half purchased, source prevalence 50%",0.5,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.337667065675981,0.304867133564096,Inf,50.53
20,5,"Half purchased, source prevalence 50%",0.5,0.5,"No vaccination",0,NA,0,0,0.790108312125644,0.78724194300904,Inf,49.96
100,1.5,"All purchased, source prevalence 20%",0,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.118337480969954,0.107833159361902,Inf,284.255
100,1.5,"All purchased, source prevalence 20%",0,0.2,"No vaccination",0,NA,0,0,0.332615191955841,0.334989182683434,Inf,285.905
100,1.5,"All purchased, source prevalence 5%",0,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0.005,0.0368466634376367,0.0289346213586152,Inf,287.975
100,1.5,"All purchased, source prevalence 5%",0,0.05,"No vaccination",0,NA,0,0,0.222074250240322,0.227559895491462,Inf,287.13
100,1.5,"All purchased, source prevalence 50%",0,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.254063420089482,0.254684200585133,Inf,285.47
100,1.5,"All purchased, source prevalence 50%",0,0.5,"No vaccination",0,NA,0,0,0.460821883405907,0.460322936875727,Inf,284.22
100,1.5,"All replacements home-bred",1,0,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.095,0.98,0.0175719042106133,8.76445765526702e-05,29.427397260274,222.295
100,1.5,"All replacements home-bred",1,0,"No vaccination",0,NA,0.005,0.005,0.262658253809285,0.262480385282013,Inf,217.48
100,1.5,"Half purchased, source prevalence 20%",0.5,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.0778699811270744,0.0648091326690779,Inf,250.865
100,1.5,"Half purchased, source prevalence 20%",0.5,0.2,"No vaccination",0,NA,0,0,0.315824048623119,0.317582349888163,Inf,253.735
100,1.5,"Half purchased, source prevalence 5%",0.5,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0.005,0.03,0.0299914847467432,0.0166092012733809,Inf,248.745
100,1.5,"Half purchased, source prevalence 5%",0.5,0.05,"No vaccination",0,NA,0,0,0.239504915706437,0.242677643232227,Inf,251.82
100,1.5,"Half purchased, source prevalence 50%",0.5,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.162441715829712,0.150787931286931,Inf,254.115
100,1.5,"Half purchased, source prevalence 50%",0.5,0.5,"No vaccination",0,NA,0,0,0.402086178112786,0.407081831125028,Inf,250.66
100,3,"All purchased, source prevalence 20%",0,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.185604734468587,0.16416040428753,Inf,280.635
100,3,"All purchased, source prevalence 20%",0,0.2,"No vaccination",0,NA,0,0,0.630391221451159,0.632359453410815,Inf,285.365
100,3,"All purchased, source prevalence 5%",0,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.0916374958143885,0.0488114643513713,Inf,285.75
100,3,"All purchased, source prevalence 5%",0,0.05,"No vaccination",0,NA,0,0,0.604408770453399,0.594515340653596,Inf,291.34
100,3,"All purchased, source prevalence 50%",0,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.344997841548769,0.333438631478064,Inf,284.355
100,3,"All purchased, source prevalence 50%",0,0.5,"No vaccination",0,NA,0,0,0.680538325429211,0.682359622074759,Inf,289.435
100,3,"All replacements home-bred",1,0,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0.775,0.0796478155994578,0.00191480949971948,43.9753424657534,220.475
100,3,"All replacements home-bred",1,0,"No vaccination",0,NA,0,0,0.635143493983193,0.634873639806695,Inf,217.06
100,3,"Half purchased, source prevalence 20%",0.5,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.141774333406213,0.101120441320812,Inf,251.095
100,3,"Half purchased, source prevalence 20%",0.5,0.2,"No vaccination",0,NA,0,0,0.632899978698629,0.638962994725761,Inf,250.36
100,3,"Half purchased, source prevalence 5%",0.5,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0.01,0.092003818055856,0.0272686937627611,Inf,254.545
100,3,"Half purchased, source prevalence 5%",0.5,0.05,"No vaccination",0,NA,0,0,0.616286754291591,0.615956470171423,Inf,249.945
100,3,"Half purchased, source prevalence 50%",0.5,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.24246958686609,0.217435356004741,Inf,251.495
100,3,"Half purchased, source prevalence 50%",0.5,0.5,"No vaccination",0,NA,0,0,0.665567756634176,0.66356238481016,Inf,251.635
100,5,"All purchased, source prevalence 20%",0,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.294177415379757,0.251570792805074,Inf,285.08
100,5,"All purchased, source prevalence 20%",0,0.2,"No vaccination",0,NA,0,0,0.777570071097749,0.775079930744127,Inf,287.9
100,5,"All purchased, source prevalence 5%",0,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.185762946832226,0.0921924609324297,Inf,286.51
100,5,"All purchased, source prevalence 5%",0,0.05,"No vaccination",0,NA,0,0,0.760935525872851,0.76472228247778,Inf,288.235
100,5,"All purchased, source prevalence 50%",0,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.441457883194053,0.431380018302034,Inf,284.145
100,5,"All purchased, source prevalence 50%",0,0.5,"No vaccination",0,NA,0,0,0.801456562262525,0.800811934620835,Inf,287.025
100,5,"All replacements home-bred",1,0,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0.305,0.157853755487127,0.0111361991694195,55.5643835616438,220.5
100,5,"All replacements home-bred",1,0,"No vaccination",0,NA,0,0,0.779626615044078,0.780585050368584,Inf,222.185
100,5,"Half purchased, source prevalence 20%",0.5,0.2,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.240988490026118,0.169697039628835,Inf,250.775
100,5,"Half purchased, source prevalence 20%",0.5,0.2,"No vaccination",0,NA,0,0,0.782382792933111,0.776675953794019,Inf,252.44
100,5,"Half purchased, source prevalence 5%",0.5,0.05,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.17887362689838,0.0612972790617026,Inf,253.995
100,5,"Half purchased, source prevalence 5%",0.5,0.05,"No vaccination",0,NA,0,0,0.770228626156369,0.766834374949036,Inf,253.28
100,5,"Half purchased, source prevalence 50%",0.5,0.5,"18-month immunity, calves at birth plus annual whole-herd booster",1,1,0,0,0.346747579839736,0.316676182620514,Inf,250.13
100,5,"Half purchased, source prevalence 50%",0.5,0.5,"No vaccination",0,NA,0,0,0.794694876904414,0.787462501620865,Inf,253.045
