"strategy","revacc","redose_V","shape","k","D","herd","R0","T_elim"
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,2,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,2,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 25th pct (2.0)",1.99157647802648,45.3937429492565
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 median (2.8)",2.80808526201542,67.4280572399048
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 25th pct (2.0)",1.99157647802648,34.6873298781325
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 median (2.8)",2.80808526201542,39.7898285683445
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 75th pct (4.1)",4.12642819800479,48.7084649249446
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 25th pct (2.0)",1.99157647802648,47.6009609401035
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 median (2.8)",2.80808526201542,74.9457995099723
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,2.5,"R0 25th pct (2.0)",1.99157647802648,47.6009609401035
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,2.5,"R0 median (2.8)",2.80808526201542,74.9457995099723
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,2.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,2.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 25th pct (2.0)",1.99157647802648,42.1198961925185
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 median (2.8)",2.80808526201542,57.1726408616839
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 75th pct (4.1)",4.12642819800479,142.099055650612
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 25th pct (2.0)",1.99157647802648,34.6775442787166
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 median (2.8)",2.80808526201542,39.7714660802548
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 75th pct (4.1)",4.12642819800479,48.6641654572932
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,2.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,3,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,3,"R0 median (2.8)",2.80808526201542,Inf
