"parameter","value","share_herds_free_50y","share_herds_free_100y","share_herds_Rv_below_1","pop_prev_50y","median_herd_T"
"duration",21,0.298245614035088,0.666666666666667,0.754385964912281,0.102456780875543,65.2011092970234
"duration",22,0.298245614035088,0.68421052631579,0.754385964912281,0.100243683443485,63.2608923292832
"duration",23,0.333333333333333,0.68421052631579,0.754385964912281,0.0981982213668579,61.5992130853524
"duration",24,0.333333333333333,0.701754385964912,0.754385964912281,0.0963009202303688,60.1604000706035
"duration",25,0.333333333333333,0.701754385964912,0.754385964912281,0.0945355036350816,58.902693141688
"duration",26,0.368421052631579,0.701754385964912,0.754385964912281,0.0928882046287138,57.7941370843285
"duration",27,0.368421052631579,0.719298245614035,0.754385964912281,0.0913472535604232,56.8098697496388
"duration",28,0.403508771929825,0.719298245614035,0.754385964912281,0.0899024928460193,55.9302473051174
"duration",29,0.421052631578947,0.719298245614035,0.754385964912281,0.0885450835344163,55.1395498287475
"duration",30,0.421052631578947,0.719298245614035,0.754385964912281,0.0872672787947726,54.4250442407346
"duration",31,0.43859649122807,0.719298245614035,0.754385964912281,0.0860622465618097,53.7763106864063
"duration",32,0.43859649122807,0.736842105263158,0.771929824561403,0.0849239288518897,53.1847442235911
"duration",33,0.473684210526316,0.736842105263158,0.771929824561403,0.0838469286552582,52.6431647096191
"duration",34,0.473684210526316,0.754385964912281,0.789473684210526,0.0828264178431593,52.145544118343
"duration",35,0.473684210526316,0.754385964912281,0.807017543859649,0.0818580613510078,51.6867820543696
"duration",36,0.491228070175439,0.754385964912281,0.807017543859649,0.0809379540925157,51.2625337190061
"duration",37,0.491228070175439,0.754385964912281,0.807017543859649,0.0800625679689485,50.8690822802018
"duration",38,0.491228070175439,0.754385964912281,0.807017543859649,0.0792287069812024,50.5032079951504
"duration",39,0.491228070175439,0.754385964912281,0.807017543859649,0.0784334689110204,50.1621431754905
"duration",40,0.526315789473684,0.754385964912281,0.807017543859649,0.0776742124150235,49.8434584998981
"duration",60,0.614035087719298,0.771929824561403,0.842105263157895,0.0674341745691255,46.1285021116349
"duration",100,0.68421052631579,0.824561403508772,0.859649122807018,0.0585996456555163,43.6470131895615
"duration",Inf,0.754385964912281,0.859649122807018,0.894736842105263,0.0437763160126948,40.5714593649686
"coverage",0.2,0,0,0,0.526618984550855,Inf
"coverage",0.22,0,0,0,0.514893091751871,Inf
"coverage",0.24,0,0,0,0.502976762289663,Inf
"coverage",0.26,0,0,0.0175438596491228,0.490875607516547,Inf
"coverage",0.28,0,0,0.0175438596491228,0.478596220045272,Inf
"coverage",0.3,0,0,0.0175438596491228,0.466146418181461,Inf
"coverage",0.32,0,0,0.0350877192982456,0.453535605188989,Inf
"coverage",0.34,0,0,0.0350877192982456,0.440775210750007,Inf
"coverage",0.36,0,0,0.0526315789473684,0.427879151401817,Inf
"coverage",0.38,0,0,0.0526315789473684,0.41486417576304,Inf
"coverage",0.4,0,0,0.0526315789473684,0.40174995171689,Inf
"coverage",0.42,0,0.0175438596491228,0.0526315789473684,0.388558744067519,Inf
"coverage",0.44,0,0.0175438596491228,0.0526315789473684,0.375314580061154,Inf
"coverage",0.46,0,0.0350877192982456,0.087719298245614,0.362041886382966,Inf
"coverage",0.48,0,0.0350877192982456,0.105263157894737,0.34876372185935,Inf
"coverage",0.5,0,0.0526315789473684,0.105263157894737,0.335499901685615,Inf
"coverage",0.52,0,0.0526315789473684,0.157894736842105,0.322265450545569,Inf
