"R0","N","schedule","p_free_10y","p_free_20y","p_free_50y","p_free_100y","median_T","Rv"
2,100,"18-month immunity, annual whole-herd booster",0,0.185,0.995,1,24.5780821917808,1.48213637676084
3,100,"18-month immunity, annual whole-herd booster",0,0.065,0.995,1,27.9068493150685,2.22320456514126
5,100,"18-month immunity, annual whole-herd booster",0,0.005,0.895,1,35.3452054794521,3.7053409419021
8,100,"18-month immunity, annual whole-herd booster",0,0,0.36,0.9,57.4958904109589,5.92854550704337
1.2,200,"18-month immunity, annual whole-herd booster",0.005,0.485,1,1,20.3041095890411,0.889281826056505
1.5,200,"18-month immunity, annual whole-herd booster",0,0.225,1,1,24.0438356164384,1.11160228257063
2,200,"18-month immunity, annual whole-herd booster",0,0.08,0.995,1,27.0027397260274,1.48213637676084
3,200,"18-month immunity, annual whole-herd booster",0,0.01,0.955,1,33.0027397260274,2.22320456514126
5,200,"18-month immunity, annual whole-herd booster",0,0,0.77,1,41.7972602739726,3.7053409419021
8,200,"18-month immunity, annual whole-herd booster",0,0,0.17,0.845,69.2082191780822,5.92854550704337
1.2,5,"18-month immunity, six-monthly whole-herd booster",0.895,0.985,1,1,2.59178082191781,0.889281826056505
1.5,5,"18-month immunity, six-monthly whole-herd booster",0.79,0.945,1,1,5.42739726027397,1.11160228257063
2,5,"18-month immunity, six-monthly whole-herd booster",0.655,0.97,1,1,7.48219178082192,1.48213637676084
3,5,"18-month immunity, six-monthly whole-herd booster",0.555,0.915,1,1,8.92054794520548,2.22320456514126
5,5,"18-month immunity, six-monthly whole-herd booster",0.44,0.845,1,1,10.7698630136986,3.7053409419021
8,5,"18-month immunity, six-monthly whole-herd booster",0.385,0.8,1,1,12.3315068493151,5.92854550704337
1.2,10,"18-month immunity, six-monthly whole-herd booster",0.77,0.98,1,1,6.08493150684932,0.889281826056505
1.5,10,"18-month immunity, six-monthly whole-herd booster",0.625,0.95,1,1,7.93424657534247,1.11160228257063
2,10,"18-month immunity, six-monthly whole-herd booster",0.525,0.895,1,1,9.24931506849315,1.48213637676084
3,10,"18-month immunity, six-monthly whole-herd booster",0.295,0.82,1,1,13.7287671232877,2.22320456514126
5,10,"18-month immunity, six-monthly whole-herd booster",0.14,0.7,0.995,1,15.7835616438356,3.7053409419021
8,10,"18-month immunity, six-monthly whole-herd booster",0.13,0.495,0.97,1,20.2219178082192,5.92854550704337
1.2,20,"18-month immunity, six-monthly whole-herd booster",0.635,0.94,1,1,7.89315068493151,0.889281826056505
1.5,20,"18-month immunity, six-monthly whole-herd booster",0.275,0.89,1,1,12.6602739726027,1.11160228257063
2,20,"18-month immunity, six-monthly whole-herd booster",0.2,0.805,0.995,1,15.0027397260274,1.48213637676084
3,20,"18-month immunity, six-monthly whole-herd booster",0.08,0.615,1,1,17.427397260274,2.22320456514126
5,20,"18-month immunity, six-monthly whole-herd booster",0.035,0.45,0.985,1,21.0027397260274,3.7053409419021
8,20,"18-month immunity, six-monthly whole-herd booster",0.005,0.245,0.905,1,28.1945205479452,5.92854550704337
1.2,50,"18-month immunity, six-monthly whole-herd booster",0.315,0.845,1,1,13.3178082191781,0.889281826056505
1.5,50,"18-month immunity, six-monthly whole-herd booster",0.055,0.71,1,1,16.3178082191781,1.11160228257063
2,50,"18-month immunity, six-monthly whole-herd booster",0.015,0.55,0.995,1,19.1123287671233,1.48213637676084
3,50,"18-month immunity, six-monthly whole-herd booster",0,0.315,1,1,23.2219178082192,2.22320456514126
