"beta" "eff_S" "eff_I"
0.00819109738567169 0.640746469039187 0.738623087956994
0.00826303966027804 0.425093928278367 0.785563971827374
0.00799361272726012 0.627571143083072 0.777440418930752
0.00725445377521869 0.607470659239281 0.751086162250038
0.0062258109005148 0.483768086566389 0.694107797548839
0.00795093992264482 0.600778109936497 0.9018028240662
0.00811308919193998 0.549935126158861 0.88227169225274
0.00912753910378847 0.635762924848248 0.820153824268891
0.00696308870110061 0.620437883215375 0.763270504878627
0.0101822976733559 0.603928967539899 0.79833285784503
0.00775975441339726 0.54344271166327 0.884501286271858
0.00844516175381582 0.531234161059086 0.841150003789677
0.00853438711582025 0.601537018548965 0.846499453648297
0.00817791845353671 0.53668368916469 0.709668788491455
0.00707555477033094 0.548799605477387 0.760059626239566
0.00915746337370802 0.56963903963354 0.86834551956967
0.0100821243381517 0.397114626369652 0.638199245556454
0.00590455183039212 0.559328911092028 0.578483023624348
0.0118004179224705 0.614992617065012 0.77595396194032
0.00627246963592849 0.568540364816334 0.794192647512497
0.0056396839521482 0.642288990959087 0.831823542021864
0.00788788551588455 0.575871888752457 0.859362449080046
0.0100740949642476 0.520455891725544 0.545494508978947
0.0077220906043584 0.548844994845981 0.589175712559517
0.00908017022673379 0.574441312199823 0.745900242790092
0.0136642680962019 0.560850414449606 0.68527636083945
0.00836764161386621 0.583467421269026 0.757326567539208
0.00838654600140145 0.618367025563404 0.822554298233947
0.00765222677578118 0.665055148684195 0.830815204126746
0.0103633895673792 0.481843487392976 0.741706015211951
0.0072325583281974 0.615215151053747 0.649757266553246
0.00694913642441567 0.484491614617748 0.653602187113411
0.00680823690760949 0.454174984653983 0.798997108553759
0.0126004958522369 0.535996108166403 0.643023342410048
0.00550179712250755 0.557352182760434 0.666101525517326
0.0104263754563482 0.614486122755601 0.782187425772907
0.00888513865721606 0.614486122755601 0.782187425772907
0.00820140660399373 0.475971123943 0.672632790588293
0.0101281504494739 0.402365146029715 0.817788290360188
0.01438600561329 0.563921185419717 0.654342545272449
0.012297183296727 0.516015150156053 0.733015710454575
0.00688261549121854 0.650500365124163 0.675423134503442
0.011568199253581 0.608306457797859 0.795141582460395
0.00927264428301654 0.701361667972757 0.756850780747156
0.00781785660371479 0.629742561334397 0.75678120930354
0.00641793209351634 0.567865726867636 0.700919717298844
0.00867149104351962 0.754991722792284 0.89987467212742
0.00659053059695508 0.796193096456644 0.904879802086807
0.00996962741738143 0.611424312287566 0.806106933734821
0.00835223639006985 0.545148110983474 0.816330601193821
0.00838310520236083 0.344093126302216 0.849893125255998
0.0126373173400019 0.330661220160233 0.831649173489391
0.0126373173400019 0.584697494706092 0.81327805437449
0.0091426618120795 0.544927525683553 0.912182455136856
0.00841268002627785 0.653725485958978 0.848391841330855
0.00818280309173175 0.673071240270312 0.795340669215535
0.0093156891041053 0.729471350677078 0.824783051490244
0.00624168085325672 0.62076467584219 0.776762510058473
0.00970191948081916 0.638167655289914 0.822941479197802
0.010099884192049 0.631411459510527 0.841205448256927
0.00890730660935427 0.607764245839716 0.772903943205912
0.00796690300903782 0.637897745275287 0.864182523750504
0.00432764039028286 0.658529048978124 0.885669899235947
0.0066839512053117 0.64257802516415 0.845686860329125
0.0105863986554522 0.585977191354466 0.931436252075271
0.00668650312012835 0.542202421912609 0.873855788905224
0.00718164195690712 0.511015996499928 0.749078410249642
0.00916454295397584 0.71310674112124 0.758222541979407
0.00643166548745199 0.71471108211898 0.779923086935828
0.0067051896967779 0.750246798401134 0.797087913025215
0.0086661779390797 0.440158245392307 0.698555063175943
0.00823119969098779 0.623002167711931 0.700521734268063
0.00638193879690675 0.607908689020065 0.668722068941227
0.00854063826261318 0.653233015073971 0.74608307813007
0.0141347125930328 0.494449459089163 0.687367600840088
0.0119543099310847 0.299511127588989 0.643638012438292
0.0118413780530607 0.551660299462998 0.815993296154019
0.0105656404991975 0.515370500653416 0.661310213057854
0.0086038422217913 0.594603613579224 0.731028583280629
0.00633411896146467 0.553152162159804 0.826463766981743
0.00850765905072177 0.713660359769625 0.607289895863645
0.00680943914776885 0.615412302498171 0.70800729657168
0.0104229952968106 0.62634975462366 0.821491835429359
