"R0","N","schedule","p_free_20y","p_free_50y"
3,100,"Lifelong immunity, calves only (paper assumption)",0.05,0.98
4,100,"Lifelong immunity, calves only (paper assumption)",0.015,0.94
5,100,"Lifelong immunity, calves only (paper assumption)",0.015,0.915
6.5,100,"Lifelong immunity, calves only (paper assumption)",0.005,0.69
8,100,"Lifelong immunity, calves only (paper assumption)",0.005,0.435
1.2,150,"Lifelong immunity, calves only (paper assumption)",0.47,1
1.35,150,"Lifelong immunity, calves only (paper assumption)",0.38,1
1.5,150,"Lifelong immunity, calves only (paper assumption)",0.23,1
1.75,150,"Lifelong immunity, calves only (paper assumption)",0.14,0.995
2,150,"Lifelong immunity, calves only (paper assumption)",0.04,0.995
2.5,150,"Lifelong immunity, calves only (paper assumption)",0.015,0.995
3,150,"Lifelong immunity, calves only (paper assumption)",0,0.99
4,150,"Lifelong immunity, calves only (paper assumption)",0.005,0.935
5,150,"Lifelong immunity, calves only (paper assumption)",0,0.85
6.5,150,"Lifelong immunity, calves only (paper assumption)",0,0.635
8,150,"Lifelong immunity, calves only (paper assumption)",0,0.29
1.2,200,"Lifelong immunity, calves only (paper assumption)",0.38,0.99
1.35,200,"Lifelong immunity, calves only (paper assumption)",0.18,1
1.5,200,"Lifelong immunity, calves only (paper assumption)",0.17,0.995
1.75,200,"Lifelong immunity, calves only (paper assumption)",0.06,1
2,200,"Lifelong immunity, calves only (paper assumption)",0.02,1
2.5,200,"Lifelong immunity, calves only (paper assumption)",0.01,0.985
3,200,"Lifelong immunity, calves only (paper assumption)",0,0.995
4,200,"Lifelong immunity, calves only (paper assumption)",0,0.875
5,200,"Lifelong immunity, calves only (paper assumption)",0,0.835
6.5,200,"Lifelong immunity, calves only (paper assumption)",0,0.565
8,200,"Lifelong immunity, calves only (paper assumption)",0,0.225
1.2,5,"18-month immunity, calves only",0.945,1
1.35,5,"18-month immunity, calves only",0.97,1
1.5,5,"18-month immunity, calves only",0.9,0.99
1.75,5,"18-month immunity, calves only",0.925,1
2,5,"18-month immunity, calves only",0.825,0.99
2.5,5,"18-month immunity, calves only",0.885,1
3,5,"18-month immunity, calves only",0.785,0.975
4,5,"18-month immunity, calves only",0.715,0.97
5,5,"18-month immunity, calves only",0.615,0.95
6.5,5,"18-month immunity, calves only",0.605,0.935
8,5,"18-month immunity, calves only",0.545,0.935
1.2,8,"18-month immunity, calves only",0.95,0.995
1.35,8,"18-month immunity, calves only",0.91,1
1.5,8,"18-month immunity, calves only",0.82,1
1.75,8,"18-month immunity, calves only",0.815,1
2,8,"18-month immunity, calves only",0.735,0.985
2.5,8,"18-month immunity, calves only",0.64,0.94
3,8,"18-month immunity, calves only",0.495,0.935
4,8,"18-month immunity, calves only",0.43,0.865
5,8,"18-month immunity, calves only",0.33,0.745
6.5,8,"18-month immunity, calves only",0.27,0.675
8,8,"18-month immunity, calves only",0.25,0.6
1.2,12,"18-month immunity, calves only",0.85,1
1.35,12,"18-month immunity, calves only",0.795,0.995
1.5,12,"18-month immunity, calves only",0.77,0.995
1.75,12,"18-month immunity, calves only",0.645,0.95
2,12,"18-month immunity, calves only",0.585,0.935
2.5,12,"18-month immunity, calves only",0.375,0.87
3,12,"18-month immunity, calves only",0.305,0.705
4,12,"18-month immunity, calves only",0.245,0.595
5,12,"18-month immunity, calves only",0.145,0.465
6.5,12,"18-month immunity, calves only",0.115,0.335
8,12,"18-month immunity, calves only",0.05,0.185
1.2,20,"18-month immunity, calves only",0.795,0.99
1.35,20,"18-month immunity, calves only",0.625,0.96
1.5,20,"18-month immunity, calves only",0.545,0.955
1.75,20,"18-month immunity, calves only",0.385,0.89
2,20,"18-month immunity, calves only",0.28,0.845
2.5,20,"18-month immunity, calves only",0.225,0.63
3,20,"18-month immunity, calves only",0.1,0.39
4,20,"18-month immunity, calves only",0.055,0.215
5,20,"18-month immunity, calves only",0.015,0.085
6.5,20,"18-month immunity, calves only",0.005,0.05
8,20,"18-month immunity, calves only",0.01,0.025
1.2,35,"18-month immunity, calves only",0.61,0.995
1.35,35,"18-month immunity, calves only",0.445,0.93
1.5,35,"18-month immunity, calves only",0.285,0.86
1.75,35,"18-month immunity, calves only",0.165,0.705
2,35,"18-month immunity, calves only",0.105,0.51
2.5,35,"18-month immunity, calves only",0.04,0.28
3,35,"18-month immunity, calves only",0.02,0.095
4,35,"18-month immunity, calves only",0.005,0.01
5,35,"18-month immunity, calves only",0,0
6.5,35,"18-month immunity, calves only",0,0
8,35,"18-month immunity, calves only",0,0
1.2,50,"18-month immunity, calves only",0.51,0.95
1.35,50,"18-month immunity, calves only",0.285,0.84
1.5,50,"18-month immunity, calves only",0.115,0.7
1.75,50,"18-month immunity, calves only",0.08,0.525
2,50,"18-month immunity, calves only",0.01,0.32
2.5,50,"18-month immunity, calves only",0.005,0.12
3,50,"18-month immunity, calves only",0,0.025
4,50,"18-month immunity, calves only",0,0
5,50,"18-month immunity, calves only",0,0
6.5,50,"18-month immunity, calves only",0,0
8,50,"18-month immunity, calves only",0,0
1.2,75,"18-month immunity, calves only",0.315,0.89
1.35,75,"18-month immunity, calves only",0.14,0.775
1.5,75,"18-month immunity, calves only",0.065,0.58
1.75,75,"18-month immunity, calves only",0.03,0.305
2,75,"18-month immunity, calves only",0,0.08
2.5,75,"18-month immunity, calves only",0,0.02
3,75,"18-month immunity, calves only",0,0
4,75,"18-month immunity, calves only",0,0
5,75,"18-month immunity, calves only",0,0
6.5,75,"18-month immunity, calves only",0,0
8,75,"18-month immunity, calves only",0,0
1.2,100,"18-month immunity, calves only",0.185,0.84
1.35,100,"18-month immunity, calves only",0.085,0.645
1.5,100,"18-month immunity, calves only",0.03,0.49
1.75,100,"18-month immunity, calves only",0.005,0.18
2,100,"18-month immunity, calves only",0,0.085
2.5,100,"18-month immunity, calves only",0,0
3,100,"18-month immunity, calves only",0,0
4,100,"18-month immunity, calves only",0,0
5,100,"18-month immunity, calves only",0,0
6.5,100,"18-month immunity, calves only",0,0
8,100,"18-month immunity, calves only",0,0
1.2,150,"18-month immunity, calves only",0.095,0.76
1.35,150,"18-month immunity, calves only",0.005,0.515
1.5,150,"18-month immunity, calves only",0,0.24
1.75,150,"18-month immunity, calves only",0,0.065
2,150,"18-month immunity, calves only",0,0.005
2.5,150,"18-month immunity, calves only",0,0
3,150,"18-month immunity, calves only",0,0
4,150,"18-month immunity, calves only",0,0
5,150,"18-month immunity, calves only",0,0
6.5,150,"18-month immunity, calves only",0,0
8,150,"18-month immunity, calves only",0,0
1.2,200,"18-month immunity, calves only",0.045,0.655
1.35,200,"18-month immunity, calves only",0.01,0.39
1.5,200,"18-month immunity, calves only",0,0.15
1.75,200,"18-month immunity, calves only",0,0.03
2,200,"18-month immunity, calves only",0,0
2.5,200,"18-month immunity, calves only",0,0
3,200,"18-month immunity, calves only",0,0
4,200,"18-month immunity, calves only",0,0
5,200,"18-month immunity, calves only",0,0
6.5,200,"18-month immunity, calves only",0,0
8,200,"18-month immunity, calves only",0,0
1.2,5,"18-month immunity, annual whole-herd booster",0.965,1
1.35,5,"18-month immunity, annual whole-herd booster",0.985,1
1.5,5,"18-month immunity, annual whole-herd booster",0.95,1
1.75,5,"18-month immunity, annual whole-herd booster",0.955,1
2,5,"18-month immunity, annual whole-herd booster",0.935,1
2.5,5,"18-month immunity, annual whole-herd booster",0.95,1
3,5,"18-month immunity, annual whole-herd booster",0.875,1
4,5,"18-month immunity, annual whole-herd booster",0.895,1
5,5,"18-month immunity, annual whole-herd booster",0.86,1
6.5,5,"18-month immunity, annual whole-herd booster",0.8,1
8,5,"18-month immunity, annual whole-herd booster",0.79,0.99
1.2,8,"18-month immunity, annual whole-herd booster",0.99,1
1.35,8,"18-month immunity, annual whole-herd booster",0.96,1
1.5,8,"18-month immunity, annual whole-herd booster",0.95,1
1.75,8,"18-month immunity, annual whole-herd booster",0.905,1
2,8,"18-month immunity, annual whole-herd booster",0.94,1
2.5,8,"18-month immunity, annual whole-herd booster",0.905,1
3,8,"18-month immunity, annual whole-herd booster",0.83,1
4,8,"18-month immunity, annual whole-herd booster",0.815,1
5,8,"18-month immunity, annual whole-herd booster",0.775,1
6.5,8,"18-month immunity, annual whole-herd booster",0.59,0.995
8,8,"18-month immunity, annual whole-herd booster",0.565,0.98
1.2,12,"18-month immunity, annual whole-herd booster",0.96,1
1.35,12,"18-month immunity, annual whole-herd booster",0.925,1
1.5,12,"18-month immunity, annual whole-herd booster",0.92,1
1.75,12,"18-month immunity, annual whole-herd booster",0.915,1
2,12,"18-month immunity, annual whole-herd booster",0.905,1
2.5,12,"18-month immunity, annual whole-herd booster",0.825,1
3,12,"18-month immunity, annual whole-herd booster",0.76,1
4,12,"18-month immunity, annual whole-herd booster",0.67,0.995
5,12,"18-month immunity, annual whole-herd booster",0.645,1
6.5,12,"18-month immunity, annual whole-herd booster",0.505,0.98
8,12,"18-month immunity, annual whole-herd booster",0.445,0.97
1.2,20,"18-month immunity, annual whole-herd booster",0.945,1
1.35,20,"18-month immunity, annual whole-herd booster",0.89,1
1.5,20,"18-month immunity, annual whole-herd booster",0.825,1
1.75,20,"18-month immunity, annual whole-herd booster",0.79,1
2,20,"18-month immunity, annual whole-herd booster",0.745,0.995
2.5,20,"18-month immunity, annual whole-herd booster",0.705,0.995
3,20,"18-month immunity, annual whole-herd booster",0.625,1
4,20,"18-month immunity, annual whole-herd booster",0.515,1
5,20,"18-month immunity, annual whole-herd booster",0.42,0.99
6.5,20,"18-month immunity, annual whole-herd booster",0.29,0.965
8,20,"18-month immunity, annual whole-herd booster",0.17,0.9
1.2,35,"18-month immunity, annual whole-herd booster",0.905,1
1.35,35,"18-month immunity, annual whole-herd booster",0.815,1
1.5,35,"18-month immunity, annual whole-herd booster",0.725,1
1.75,35,"18-month immunity, annual whole-herd booster",0.735,1
2,35,"18-month immunity, annual whole-herd booster",0.6,0.995
2.5,35,"18-month immunity, annual whole-herd booster",0.485,1
3,35,"18-month immunity, annual whole-herd booster",0.36,0.995
4,35,"18-month immunity, annual whole-herd booster",0.31,1
5,35,"18-month immunity, annual whole-herd booster",0.205,0.975
6.5,35,"18-month immunity, annual whole-herd booster",0.08,0.93
8,35,"18-month immunity, annual whole-herd booster",0.045,0.735
1.2,50,"18-month immunity, annual whole-herd booster",0.87,1
1.35,50,"18-month immunity, annual whole-herd booster",0.75,1
1.5,50,"18-month immunity, annual whole-herd booster",0.685,1
1.75,50,"18-month immunity, annual whole-herd booster",0.625,1
2,50,"18-month immunity, annual whole-herd booster",0.48,0.995
2.5,50,"18-month immunity, annual whole-herd booster",0.42,1
3,50,"18-month immunity, annual whole-herd booster",0.295,0.995
4,50,"18-month immunity, annual whole-herd booster",0.145,0.97
5,50,"18-month immunity, annual whole-herd booster",0.085,0.98
6.5,50,"18-month immunity, annual whole-herd booster",0.01,0.87
8,50,"18-month immunity, annual whole-herd booster",0.02,0.69
1.2,75,"18-month immunity, annual whole-herd booster",0.73,1
1.35,75,"18-month immunity, annual whole-herd booster",0.66,1
1.5,75,"18-month immunity, annual whole-herd booster",0.57,0.995
1.75,75,"18-month immunity, annual whole-herd booster",0.465,1
2,75,"18-month immunity, annual whole-herd booster",0.385,1
2.5,75,"18-month immunity, annual whole-herd booster",0.275,0.99
3,75,"18-month immunity, annual whole-herd booster",0.095,0.985
4,75,"18-month immunity, annual whole-herd booster",0.05,0.975
5,75,"18-month immunity, annual whole-herd booster",0.025,0.9
6.5,75,"18-month immunity, annual whole-herd booster",0.005,0.79
8,75,"18-month immunity, annual whole-herd booster",0,0.45
1.2,100,"18-month immunity, annual whole-herd booster",0.72,1
1.35,100,"18-month immunity, annual whole-herd booster",0.56,1
1.5,100,"18-month immunity, annual whole-herd booster",0.565,1
1.75,100,"18-month immunity, annual whole-herd booster",0.395,0.995
2,100,"18-month immunity, annual whole-herd booster",0.16,1
2.5,100,"18-month immunity, annual whole-herd booster",0.145,1
3,100,"18-month immunity, annual whole-herd booster",0.105,0.99
4,100,"18-month immunity, annual whole-herd booster",0.035,0.95
5,100,"18-month immunity, annual whole-herd booster",0.01,0.92
6.5,100,"18-month immunity, annual whole-herd booster",0,0.68
8,100,"18-month immunity, annual whole-herd booster",0,0.375
1.2,150,"18-month immunity, annual whole-herd booster",0.675,1
1.35,150,"18-month immunity, annual whole-herd booster",0.425,1
1.5,150,"18-month immunity, annual whole-herd booster",0.325,1
1.75,150,"18-month immunity, annual whole-herd booster",0.185,1
2,150,"18-month immunity, annual whole-herd booster",0.14,1
2.5,150,"18-month immunity, annual whole-herd booster",0.05,0.995
3,150,"18-month immunity, annual whole-herd booster",0.05,0.97
4,150,"18-month immunity, annual whole-herd booster",0.005,0.94
5,150,"18-month immunity, annual whole-herd booster",0,0.87
6.5,150,"18-month immunity, annual whole-herd booster",0,0.58
8,150,"18-month immunity, annual whole-herd booster",0,0.25
1.2,200,"18-month immunity, annual whole-herd booster",0.555,1
1.35,200,"18-month immunity, annual whole-herd booster",0.31,1
1.5,200,"18-month immunity, annual whole-herd booster",0.27,1
1.75,200,"18-month immunity, annual whole-herd booster",0.15,1
2,200,"18-month immunity, annual whole-herd booster",0.045,0.995
2.5,200,"18-month immunity, annual whole-herd booster",0.03,0.97
3,200,"18-month immunity, annual whole-herd booster",0.015,0.965
4,200,"18-month immunity, annual whole-herd booster",0,0.915
5,200,"18-month immunity, annual whole-herd booster",0,0.795
6.5,200,"18-month immunity, annual whole-herd booster",0,0.465
8,200,"18-month immunity, annual whole-herd booster",0,0.145
